"field","data_type","description"
"player_id","character","Player's gsis_id. Use this to join to other sources, e.g. load_players()."
"player_name","character","Abbreviated name of player as provided by playstats api"
"player_display_name","character","Name of player as provided by `load_players()`"
"position","character","Position of player as listed by NFL"
"position_group","character","Position group of player as listed by NFL"
"headshot_url","character","Player's nfl.com headshot URL"
"season","numeric","Official NFL season"
"week","numeric","Game week number"
"season_type","character","`REG` for regular season, `POST` for postseason"
"team","character","Abbreviation of player's team"
"opponent_team","character","Abbreviation of opponent's team"
"completions","numeric","The number of completed passes."
"attempts","numeric","The number of pass attempts as defined by the NFL."
"passing_yards","numeric","Yards gained on pass plays."
"passing_tds","numeric","The number of passing touchdowns."
"passing_interceptions","numeric","Number of passing interceptions"
"sacks_suffered","numeric","Number of sacks taken as a QB"
"sack_yards_lost","numeric","Yards lost from sacks suffered by this player"
"sack_fumbles","numeric","The number of sacks suffered with a fumble."
"sack_fumbles_lost","numeric","The number of sacks suffered with a lost fumble."
"passing_air_yards","numeric","Passing air yards (includes incomplete passes)."
"passing_yards_after_catch","numeric","Yards after the catch gained on plays in which player was the passer (this is an unofficial stat and may differ slightly between different sources)."
"passing_first_downs","numeric","First downs on pass attempts."
"passing_epa","numeric","Total expected points added on pass attempts and sacks. NOTE: this uses the variable `qb_epa`, which gives QB credit for EPA for up to the point where a receiver lost a fumble after a completed catch and makes EPA work more like passing yards on plays with fumbles."
"passing_cpoe","numeric","Completion percentage over expected for this player."
"passing_2pt_conversions","numeric","Two-point conversion passes."
"pacr","numeric","Passing (yards) Air (yards) Conversion Ratio - the number of passing yards per air yards thrown per game"
"carries","numeric","The number of official rush attempts (incl. scrambles and kneel downs). Rushes after a lateral reception don't count as carry."
"rushing_yards","numeric","Yards gained when rushing with the ball (incl. scrambles and kneel downs). Also includes yards gained after obtaining a lateral on a play that started with a rushing attempt."
"rushing_tds","numeric","The number of rushing touchdowns (incl. scrambles). Also includes touchdowns after obtaining a lateral on a play that started with a rushing attempt."
"rushing_fumbles","numeric","The number of rushes with a fumble."
"rushing_fumbles_lost","numeric","The number of rushes with a lost fumble."
"rushing_first_downs","numeric","First downs on rush attempts (incl. scrambles)."
"rushing_epa","numeric","Expected points added on rush attempts (incl. scrambles and kneel downs)."
"rushing_2pt_conversions","numeric","Two-point conversion rushes"
"receptions","numeric","The number of pass receptions. Lateral receptions officially don't count as reception."
"targets","numeric","The number of pass plays where the player was the targeted receiver."
"receiving_yards","numeric","Yards gained after a pass reception. Includes yards gained after receiving a lateral on a play that started as a pass play."
"receiving_tds","numeric","The number of touchdowns following a pass reception. Also includes touchdowns after receiving a lateral on a play that started as a pass play."
"receiving_fumbles","numeric","The number of fumbles after a pass reception."
"receiving_fumbles_lost","numeric","The number of fumbles lost after a pass reception."
"receiving_air_yards","numeric","Receiving air yards (incl. incomplete passes)."
