name,position,team,value
"Ja'Marr Chase",WR,CIN,1007.7486
"Justin Jefferson",WR,MIN,995.4242
"Malik Nabers",WR,NYG,948.3432
"CeeDee Lamb",WR,DAL,941.7381
"Amon-Ra St. Brown",WR,DET,886.5076
"Bijan Robinson",RB,ATL,866.0418
"Brian Thomas",WR,JAC,850.1045
"Jahmyr Gibbs",RB,DET,836.6198
"Puka Nacua",WR,LAR,798.2081
"Ashton Jeanty",RB,LV,796.8183
"Brock Bowers",TE,LV,766.8861
"Nico Collins",WR,HOU,759.2629
"Drake London",WR,ATL,750.4860
"Ladd McConkey",WR,LAC,688.5436
"Saquon Barkley",RB,PHI,687.1826
"Jaxon Smith-Njigba",WR,SEA,680.5476
"De'Von Achane",RB,MIA,680.1552
"Bucky Irving",RB,TB,649.1229
"Garrett Wilson",WR,NYJ,646.3125
"Trey McBride",TE,ARI,632.0542
"Omarion Hampton",RB,LAC,618.0217
"AJ Brown",WR,PHI,605.2829
"Marvin Harrison Jr",WR,ARI,605.1126
"Tetairoa McMillan",WR,CAR,597.5062
"Tee Higgins",WR,CIN,580.7522
"Rashee Rice",WR,KC,570.1985
"TreVeyon Henderson",RB,NE,558.3898
"Josh Allen",QB,BUF,546.0928
"Travis Hunter",WR,JAC,532.8102
"Lamar Jackson",QB,BAL,532.3130
"Jonathan Taylor",RB,IND,513.4441
"Breece Hall",RB,NYJ,504.5825
"Jayden Daniels",QB,WAS,502.6854
"Chase Brown",RB,CIN,481.6213
"Xavier Worthy",WR,KC,472.0130
"DeVonta Smith",WR,PHI,461.0541
"Kyren Williams",RB,LAR,457.1262
"Jalen Hurts",QB,PHI,455.3814
"Emeka Egbuka",WR,TB,433.6357
"James Cook",RB,BUF,432.3419
"Zay Flowers",WR,BAL,422.2260
"Joe Burrow",QB,CIN,415.0478
"Tyler Warren",TE,IND,409.4405
"Rome Odunze",WR,CHI,404.3288
"Kenneth Walker",RB,SEA,402.5696
2026.1,0,0,391.3750
"Josh Jacobs",RB,GB,387.8503
"Christian McCaffrey",RB,SF,369.9946
"Sam LaPorta",TE,DET,360.4040
"RJ Harvey",RB,DEN,358.5790
"Kaleb Johnson",RB,PIT,343.2167
"Derrick Henry",RB,BAL,337.0346
"Chris Olave",WR,NO,336.2727
"Quinshon Judkins",RB,CLE,334.4628
"DJ Moore",WR,CHI,330.8687
"Jameson Williams",WR,DET,327.7395
"Terry McLaurin",WR,WAS,324.0929
2027.1,0,0,320.5000
"Jaylen Waddle",WR,MIA,317.9074
"Matthew Golden",WR,GB,314.5126
"Jordan Addison",WR,MIN,310.6434
"DK Metcalf",WR,PIT,302.0454
"George Kittle",TE,SF,276.6303
"Colston Loveland",TE,CHI,272.2306
"George Pickens",WR,DAL,271.0187
"Brandon Aiyuk",WR,SF,268.2843
"Mike Evans",WR,TB,245.7835
"Patrick Mahomes",QB,KC,237.9661
"Chris Godwin",WR,TB,237.3931
"Luther Burden",WR,CHI,234.2844
"TJ Hockenson",TE,MIN,227.3522
"Justin Herbert",QB,LAC,222.5073
"Kyler Murray",QB,ARI,218.6661
"Alvin Kamara",RB,NO,218.0054
"Ricky Pearsall",WR,SF,216.6699
"Courtland Sutton",WR,DEN,215.2960
"Davante Adams",WR,LAR,213.4298
"Chuba Hubbard",RB,CAR,207.9700
"Jerry Jeudy",WR,CLE,201.1885
"Tyreek Hill",WR,MIA,188.8668
"Jayden Reed",WR,GB,179.1353
"Jayden Higgins",WR,HOU,176.4500
"David Montgomery",RB,DET,176.4140
"Isiah Pacheco",RB,KC,174.2266
"Drake Maye",QB,NE,174.0279
"Josh Downs",WR,IND,172.7152
"Caleb Williams",QB,CHI,166.8392
"Calvin Ridley",WR,TEN,158.5647
"Trey Benson",RB,ARI,156.7486
"Cam Skattebo",RB,NYG,152.2449
"Bo Nix",QB,DEN,149.9995
"Jordan Love",QB,GB,139.4444
"Tyrone Tracy Jr",RB,NYG,138.6320
"James Conner",RB,ARI,137.8536
"Mark Andrews",TE,BAL,137.3345
"Michael Pittman",WR,IND,135.7712
2026.2,0,0,129.8125
"Khalil Shakir",WR,BUF,127.9297
"Kyle Pitts",TE,ATL,126.9264
"Tucker Kraft",TE,GB,125.1797
"Travis Etienne",RB,JAC,123.6964
"CJ Stroud",QB,HOU,123.2503
"Deebo Samuel",WR,WAS,122.2854
"Keon Coleman",WR,BUF,121.8604
"Joe Mixon",RB,HOU,114.7256
"David Njoku",TE,CLE,113.5048
"Bhayshul Tuten",RB,JAC,113.4044
"Tony Pollard",RB,TEN,111.9118
"Zach Charbonnet",RB,SEA,110.1629
"Dalton Kincaid",TE,BUF,105.5372
"D'Andre Swift",RB,CHI,105.2928
"Tre Harris",WR,LAC,103.5441
2027.2,0,0,102.0000
"Jaylen Warren",RB,PIT,92.1224
"Baker Mayfield",QB,TB,91.4810
"Evan Engram",TE,DEN,86.5991
"Mason Taylor",TE,NYJ,86.1126
"Kyle Williams",WR,NE,85.4793
"Jordan Mason",RB,MIN,85.1876
"Brock Purdy",QB,SF,85.1432
"Stefon Diggs",WR,NE,84.9502
"Trevor Lawrence",QB,JAC,83.9239
"Travis Kelce",TE,KC,83.4041
"Jakobi Meyers",WR,LV,81.0875
"Aaron Jones",RB,MIN,80.5078
"Dak Prescott",QB,DAL,79.8797
"Isaiah Likely",TE,BAL,79.6958
"Rashod Bateman",WR,BAL,78.1626
"Braelon Allen",RB,NYJ,76.1885
"JJ McCarthy",QB,MIN,74.1127
"Javonte Williams",RB,DAL,73.7182
"Jared Goff",QB,DET,72.6388
"Brian Robinson",RB,SF,69.9990
"Jack Bech",WR,LV,67.5830
"Tyjae Spears",RB,TEN,67.1307
"Dylan Sampson",RB,CLE,66.4019
"Jacory Croskey-Merritt",RB,WAS,66.0307
"Rhamondre Stevenson",RB,NE,65.0030
