"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","birthdate","draft_year","injury_status","injury_details","season_year","week"
"Joe Burrow","CIN","QB","14777","weighted",4629.3720408936,156.010791161868,37.7747292692162,3.53437150903806,10.341984096933,1.40736089239063,186.456955698599,20.7340237034469,1.91325255585006,0.569053980359122,3.77276599772813,0.363529492202325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"Tua Tagovailoa","MIA","QB","14778","weighted",4058.33179856115,361.60330205052,26.7559030670201,2.8686887575258,11.2267701628171,1.07446245741175,88.7480499810678,28.0683122916446,0.654956455887921,0.4479197923575,3.62080651268459,0.278982830446839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"Brock Purdy","SF","QB","15698","weighted",4196.41282847406,248.111568257831,27.7986671715259,2.3641469520823,12.2581597879591,0.924645901078607,277.92923892465,26.3500424872691,3.25181370692919,0.743442513845291,2.62080651268459,0.278982830446839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-27,2022,NA,NA,NA,NA
"Jared Goff","DET","QB","12611","weighted",4339.53541082923,129.442623475907,31.5187050359712,4.15826717207182,11.6863460810299,1.08124929811342,73.9584551306323,49.5118049760217,0.580477092010602,0.507897788454824,2.27370314274896,0.5729355855477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-10-14,2016,NA,NA,NA,NA
"C.J. Stroud","HOU","QB","16150","weighted",4054.21747822794,198.227063478688,25.4592957213177,2.94846067461711,10.757478227944,0.521201534749467,250.605013252556,58.3425436896702,1.94641423703143,1.15199857314789,3.5339076107535,0.270795495873747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-10-03,2023,NA,NA,NA,NA
"Matthew Stafford","LAR","QB","9431","weighted",4014.19682695948,239.378197366187,26.4226656569481,2.65288842790938,10.0058159787959,1.93992582517693,74.2823324498296,59.3650605405629,0.597334343051874,0.667890829351499,1.99392275653162,0.120335217661344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-02-07,2009,NA,NA,NA,NA
"Baker Mayfield","TB","QB","13590","weighted",4192.31049602423,133.811791832603,33.4585687239682,3.08834154834219,14.5371980310488,1.65963056356383,284.942786823173,37.4248670228006,2.34767890950398,0.464083471709986,3.61512684589171,0.281716432603377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-04-14,2018,NA,NA,NA,NA
"Dak Prescott","DAL","QB","12620","weighted",4166.2640136312,167.628594049319,28.3163422945854,2.68903961782153,11.9479818250663,1.53925205197449,167.723309352518,29.0137692607888,1.76128739113972,0.411149066257358,2.47870124952669,0.311104487976071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-07-29,2016,NA,NA,NA,NA
"Patrick Mahomes","KC","QB","13116","weighted",4144.59357819008,240.423241137951,31.3593941688754,2.84622286120813,11.6578492995078,0.689252942537321,361.961491859144,48.5409333380864,2.64149943203332,0.881381267046087,2.04975388110564,0.0754446923489083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA
"Trevor Lawrence","JAC","QB","15237","weighted",3990.2731465354,276.461193460327,24.8361681181371,2.47170977474179,12.7800681560015,1.01808975336589,252.177137447936,15.965238789521,3.22964028776978,0.758846295942683,3.90387163953048,0.126837767301143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2021,NA,NA,NA,NA
"Geno Smith","LVR","QB","11150","weighted",3937.7823551685,320.197392672821,23.3056569481257,3.48963770827475,12.8743960620977,1.80354817165767,233.633600908747,31.0856421386545,1.69731919727376,0.461198170823133,2.00692919348732,0.566732526204098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-10,2013,NA,NA,NA,NA
"Joe Flacco","CLE","QB","9064","weighted",2465.68632336236,1059.30588731916,14.9466035592579,8.29997893209019,11.2023400227187,6.33507936899593,46.4493222264294,48.8355274513654,0.418917076864824,0.470957239066813,4.28812003029156,0.825151162937699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-01-16,2008,NA,NA,NA,NA
"Josh Allen","BUF","QB","13589","weighted",3893.85147292692,181.954563090956,29.5866338508141,2.27625346206732,10.1647406285498,1.8576763540345,567.322362741386,47.8255536206524,11.4818856493752,1.2036634904105,2.30197841726619,0.485747983579505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996-05-21,2018,NA,NA,NA,NA
"Caleb Williams","CHI","QB","16579","weighted",3787.38173419159,252.680644960587,25.9609087466869,4.51926111038945,9.90317304051496,1.36129627558565,478.534009844756,56.7130795251803,2.31320711851571,1.12332707995161,4.78199545626657,0.409821010528546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-11-18,2024,NA,NA,NA,NA
"Justin Herbert","LAC","QB","14779","weighted",3925.54472548277,213.377825226671,26.4684437712988,2.36505929941479,7.76763347216963,1.79499281039414,284.385687239682,28.1264149927831,2.71516092389247,0.585943874224177,1.81999242711094,0.347053375042836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"Lamar Jackson","BAL","QB","13593","weighted",3832.62133282847,186.852404117664,33.6908368042408,3.31826955367414,7.84261264672473,1.52213370039925,838.98795153351,61.7666465734985,3.9798409693298,0.619803170005689,4.69824876940553,0.345071706931211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-01-07,2018,NA,NA,NA,NA
"Michael Penix Jr.","ATL","QB","16583","weighted",3891.98428625521,209.460280662148,24.2009011737978,2.57125479431633,13.5554486936766,2.16512523609594,177.078023475956,74.3690020067424,2.24509655433548,0.750983140660158,2.60589738735328,0.286019349942876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-05-08,2024,NA,NA,NA,NA
