"Rank","Avg","Pos","Name","Team","Age","DanM","Ken K","Richard C","Rob W","Ryan M","Steve G"
"1","1.00","RB1","Ashton Jeanty","LV","21","1","1","1","1","1","1"
"2","2.50","RB2","Omarion Hampton","LAC","22","3","2","3","2","3","2"
"3","3.17","WR1","Travis Hunter","JAC","21","2","3","4","4","2","4"
"4","3.83","WR2","Tetairoa McMillan","CAR","22","6","4","2","3","5","3"
"5","5.50","RB3","Quinshon Judkins","CLE","21","5","5","7","5","4","7"
"6","6.67","RB4","TreVeyon Henderson","NE","22","8","7","6","6","7","6"
"7","7.00","TE1","Tyler Warren","IND","22","4","6","8","9","6","9"
"8","9.50","WR3","Matthew Golden","GB","21","9","9","17","8","9","5"
"9","9.50","TE2","Colston Loveland","CHI","21","10","12","5","12","10","8"
"10","10.00","WR4","Emeka Egbuka","TB","22","11","10","10","7","12","10"
"11","10.17","RB5","Kaleb Johnson","PIT","21","7","8","13","11","8","14"
"12","12.17","RB6","RJ Harvey","DEN","24","12","11","9","13","11","17"
"13","12.33","WR5","Jayden Higgins","HOU","22","14","15","11","10","13","11"
"14","13.33","WR6","Luther Burden","CHI","21","13","13","12","15","15","12"
"15","16.67","WR7","Tre Harris","LAC","23","18","16","15","19","14","18"
"16","18.00","QB1","Cam Ward","TEN","22","17","14","16","14","23","24"
"17","18.00","WR8","Jack Bech","LV","22","16","17","26","16","18","15"
"18","18.33","TE3","Mason Taylor","NYJ","20","15","19","20","20","20","16"
"19","20.00","RB7","Cam Skattebo","NYG","23","21","20","18","18","16","27"
"20","20.00","WR9","Jaylin Noel","HOU","22","19","18","24","17","21","21"
"21","21.67","WR10","Kyle Williams","NE","22","25","23","19","22","22","19"
"22","22.00","RB8","Bhayshul Tuten","JAC","22","22","22","22","21","17","28"
"23","25.67","TE4","Elijah Arroyo","SEA","22","30","27","28","24","32","13"
"24","26.17","WR11","Jalen Royals","KC","22","20","24","27","34","26","26"
"25","26.67","QB2","Jaxson Dart","NYG","21","23","25","25","25","27","35"
"26","27.17","TE5","Terrance Ferguson","LAR","22","27","32","21","30","33","20"
"27","29.00","RB9","Trevor Etienne","CAR","20","24","38","42","26","19","25"
"28","29.17","TE6","Harold Fannin","CLE","21","36","26","14","27","40","32"
"29","30.33","RB10","Dylan Sampson","CLE","20","29","21","31","33","30","38"
"30","30.33","WR12","Pat Bryant","DEN","22","33","34","23","31","39","22"
"31","32.67","WR13","Savion Williams","GB","23","34","28","0","23","37","23"
"32","34.67","RB11","Jarquez Hunter","LAR","22","0","33","32","28","25","39"
"33","35.00","RB12","Jaydon Blue","DAL","21","26","31","50","36","24","43"
"34","35.83","RB13","Woody Marks","HOU","24","46","44","30","29","35","31"
"35","36.33","RB14","DJ Giddens","IND","21","28","37","39","39","29","46"
"36","36.50","QB3","Tyler Shough","NO","25","31","29","33","32","43","0"
"37","37.33","WR14","Elic Ayomanor","TEN","21","38","39","34","38","45","30"
"38","38.00","QB4","Jalen Milroe","SEA","22","41","30","29","35","42","0"
"39","38.33","RB15","Jordan James","SF","21","32","35","0","43","28","41"
"40","39.50","WR15","Isaac TeSlaa","DET","23","35","40","36","37","38","0"
"41","40.00","RB16","Devin Neal","NO","21","45","36","37","47","31","44"
"42","41.17","WR16","Tai Felton","MIN","22","42","43","35","40","0","36"
"43","41.83","WR17","Chimere Dike","TEN","23","37","48","0","42","44","29"
"44","43.33","RB17","Ollie Gordon","MIA","21","50","41","38","46","34","0"
"45","43.67","WR18","Dont'e Thornton","LV","22","40","49","0","41","48","33"
"46","44.83","WR19","Tory Horton","SEA","22","48","0","43","0","36","40"
"47","46.83","WR20","Jaylin Lane","WAS","0","0","50","0","44","0","34"
"48","47.00","QB5","Shedeur Sanders","CLE","23","44","45","40","0","0","0"
"49","47.67","WR21","Arian Smith","NYJ","23","0","0","0","45","0","37"
"50","47.83","QB6","Dillon Gabriel","CLE","24","43","42","0","0","49","0"
"51","47.83","TE7","Gunnar Helm","TEN","22","39","0","47","0","0","48"
"52","48.67","RB18","Damien Martinez","SEA","21","49","0","45","49","47","0"
"53","48.67","WR22","Tez Johnson","TB","22","0","47","41","0","0","0"
"54","48.67","RB19","Jacory Crosky-Merritt","WAS","24","47","0","0","0","41","0"
"55","48.83","WR23","Xavier Restrepo","TEN","23","0","46","44","0","50","0"
"56","49.00","WR24","Jordan Watkins","SF","23","0","0","0","48","0","42"
"57","49.33","RB20","Brashard Smith","KC","22","0","0","46","0","46","0"
"58","50.00","WR25","KeAndre Lambert-Smith","LAC","22","0","0","0","0","0","45"
"59","50.33","RB21","Kalel Mullings","TEN","22","0","0","0","0","0","47"
"60","50.50","RB22","Raheim Sanders","LAC","21","0","0","48","0","0","0"
"61","50.67","RB23","Tahj Brooks","CIN","22","0","0","0","50","0","50"
"62","50.67","WR26","Ricky White","SEA","23","0","0","49","0","0","0"
"63","50.67","WR27","Jimmy Horn","CAR","22","0","0","0","0","0","49"
