"Player","Year","Snaps","Outside%","LWide%","RWide%","Slot%","Backfield%","Off LOS%","On LOS%"
"Tee Higgins","2024","454","79.1%","40.1%","39.0%","19.8%","1.1%","36.3%","63.7%"
"Chris Godwin*","2024","416","38.2%","18.0%","20.2%","57.5%","4.3%","72.8%","27.2%"
"Davante Adams","2024","434","54.8%","26.0%","28.8%","42.4%","2.8%","47.9%","52.1%"
"Deebo Samuel","2024","400","59.3%","24.8%","34.5%","24.3%","16.5%","64.0%","36.0%"
"Amari Cooper","2024","278","84.9%","51.1%","33.8%","14.7%","0.4%","31.7%","68.3%"
"DK Metcalf","2024","463","85.5%","42.5%","43.0%","13.8%","0.6%","20.1%","79.9%"
"Marquise Brown*","2024","165","62.4%","35.8%","26.7%","35.2%","2.4%","34.5%","65.5%"
"DeAndre Hopkins","2024","301","75.4%","40.2%","35.2%","24.3%","0.3%","22.3%","77.7%"
"Cooper Kupp","2024","431","32.9%","18.6%","14.4%","62.6%","4.4%","86.1%","13.9%"
"Stefon Diggs","2024","441","49.4%","22.4%","27.0%","45.4%","5.2%","49.2%","50.8%"
"Rome Odunze","2024","509","61.3%","20.2%","41.1%","34.2%","4.5%","41.8%","58.2%"
"Marvin Harrison Jr.","2024","429","79.7%","37.3%","42.4%","20.0%","0.2%","19.6%","80.4%"
"Brian Thomas Jr.","2024","396","72.7%","34.8%","37.9%","25.0%","2.3%","44.2%","55.8%"
"Malik Nabers","2024","476","72.7%","33.8%","38.9%","25.0%","2.3%","42.9%","57.1%"
"Ladd McConkey","2024","361","31.6%","12.5%","19.1%","65.9%","2.5%","68.4%","31.6%"
"Ricky Pearsall","2024","365","63.6%","27.9%","35.6%","33.2%","3.3%","48.2%","51.8%"
"Xavier Worthy","2024","379","57.8%","28.5%","29.3%","32.5%","9.8%","57.5%","42.5%"
"Xavier Legette","2024","427","72.4%","36.3%","36.1%","21.8%","5.9%","36.5%","63.5%"
"Keon Coleman","2024","410","88.8%","48.5%","40.2%","9.3%","2.0%","23.7%","76.3%"
"Adonai Mitchell","2024","291","76.3%","40.9%","35.4%","21.6%","2.1%","32.3%","67.7%"
"Jalen Coker","2024","389","42.4%","18.0%","24.4%","52.7%","4.9%","69.2%","30.8%"
"Ja'Lynn Polk","2024","304","81.3%","37.2%","44.1%","16.8%","2.0%","38.2%","61.8%"
"Jalen McMillan","2024","418","67.7%","26.6%","41.1%","25.4%","6.9%","56.2%","43.8%"
"Puka Nacua","2024","399","59.1%","21.6%","37.6%","27.1%","13.8%","60.4%","39.6%"
"Rashee Rice*","2024","156","56.4%","26.9%","29.5%","40.4%","3.2%","58.3%","41.7%"
"Jaxon Smith-Njigba","2024","471","17.6%","8.5%","9.1%","78.1%","4.2%","75.2%","24.8%"
"Jordan Addison","2024","478","69.2%","29.9%","39.3%","24.3%","6.5%","57.5%","42.5%"
"Jayden Reed","2024","363","21.8%","11.3%","10.5%","62.5%","15.7%","69.7%","30.3%"
"Josh Downs","2024","385","21.0%","9.9%","11.2%","67.5%","11.4%","83.4%","16.6%"
"Cedric Tillman","2024","391","73.4%","32.2%","41.2%","24.8%","1.8%","36.3%","63.7%"
