"Year","Player","Targets","Contested targets","Contested Target Rate","Contested Catch Rate"
"2024","Luther Burden","80","8","10.0","87.5"
"2024","Jack Bech","68","14","20.6","85.7"
"2024","Andrew Armstrong","76","14","18.4","85.7"
"2024","Matthew Golden","53","12","22.6","83.3"
"2024","Travis Hunter","84","11","13.1","81.8"
"2024","Jaylin Noel","78","15","19.2","80.0"
"2024","Isaac TeSlaa","26","5","19.2","80.0"
"2024","Emeka Egbuka","57","8","14.0","75.0"
"2024","Tetairoa McMillan","96","20","20.8","75.0"
"2024","Tre Harris","93","20","21.5","75.0"
"2024","Tory Horton","87","11","12.6","72.7"
"2024","Xavier Restrepo","72","16","22.2","68.8"
"2024","Jayden Higgins","91","21","23.1","66.7"
"2024","Kyle Williams","76","9","11.8","66.7"
"2024","Isaiah Bond","36","3","8.3","66.7"
"2024","Tez Johnson*","58","3","5.2","66.7"
"2024","Jalen Royals*","67","13","19.4","61.5"
"2024","Elic Ayomanor","88","21","23.9","57.1"
"2024","Tai Felton","101","11","10.9","54.5"
