"Player","Year","Tar","Contested Tar","Contested Tar%","Contested Catch%"
"Tee Higgins","2024","78","22","28.2%","81.8%"
"Chris Godwin*","2024","68","9","13.2%","88.9%"
"Davante Adams","2024","83","14","16.9%","78.6%"
"Deebo Samuel","2024","51","7","13.7%","57.1%"
"Amari Cooper","2024","49","8","16.3%","87.5%"
"DK Metcalf","2024","74","20","27.0%","40.0%"
"Marquise Brown*","2024","29","3","10.3%","33.3%"
"DeAndre Hopkins","2024","48","13","27.1%","84.6%"
"Cooper Kupp","2024","70","12","17.1%","66.7%"
"Stefon Diggs","2024","68","4","5.9%","75.0%"
"Rome Odunze","2024","64","13","20.3%","84.6%"
"Marvin Harrison Jr.","2024","70","24","34.3%","58.3%"
"Brian Thomas Jr.","2024","71","12","16.9%","75.0%"
"Malik Nabers","2024","110","22","20.0%","72.7%"
"Ladd McConkey","2024","64","13","20.3%","76.9%"
"Ricky Pearsall","2024","47","7","14.9%","71.4%"
"Xavier Worthy","2024","59","6","10.2%","50.0%"
"Xavier Legette","2024","52","10","19.2%","60.0%"
"Keon Coleman","2024","54","15","27.8%","60.0%"
"Adonai Mitchell","2024","35","4","11.4%","75.0%"
"Jalen Coker","2024","46","14","30.4%","78.6%"
"Ja'Lynn Polk","2024","28","10","35.7%","20.0%"
"Jalen McMillan","2024","48","7","14.6%","57.1%"
"Puka Nacua","2024","94","17","18.1%","82.4%"
"Rashee Rice*","2024","34","2","5.9%","50.0%"
"Jaxon Smith-Njigba","2024","87","14","16.1%","57.1%"
"Jordan Addison","2024","59","8","13.6%","87.5%"
"Jayden Reed","2024","47","9","19.1%","88.9%"
"Josh Downs","2024","76","10","13.2%","70.0%"
"Cedric Tillman","2024","52","5","9.6%","80.0%"
"Zay Flowers","2024","63","9","14.3%","55.6%"
"Dontayvion Wicks","2024","52","8","15.4%","25.0%"
"Marvin Mims","2024","36","3","8.3%","33.3%"
"Quentin Johnston","2024","59","14","23.7%","28.6%"
"Jameson Williams","2024","47","4","8.5%","75.0%"
"George Pickens","2024","69","20","29.0%","65.0%"
"Garrett Wilson","2024","92","17","18.5%","70.6%"
"Chris Olave","2024","50","10","20.0%","80.0%"
"Khalil Shakir","2024","67","10","14.9%","70.0%"
"Drake London","2024","87","17","19.5%","76.5%"
"Tyreek Hill","2024","67","12","17.9%","66.7%"
"Nico Collins","2024","72","16","22.2%","81.3%"
"D.J. Moore","2024","79","15","19.0%","53.3%"
"Terry McLaurin","2024","48","11","22.9%","72.7%"
"Calvin Ridley","2024","63","11","17.5%","81.8%"
"Jauan Jennings","2024","70","22","31.4%","81.8%"
"Jerry Jeudy","2024","85","13","15.3%","69.2%"
"Courtland Sutton","2024","64","14","21.9%","78.6%"
"Jaylen Waddle","2024","48","8","16.7%","75.0%"
"DeVonta Smith","2024","63","7","11.1%","85.7%"
"Amon-Ra St. Brown","2024","85","17","20.0%","82.4%"
"A.J. Brown","2024","57","10","17.5%","90.0%"
"Josh Palmer","2024","47","8","17.0%","62.5%"
"Mike Evans","2024","84","12","14.3%","75.0%"
"Justin Jefferson","2024","76","15","19.7%","93.3%"
"CeeDee Lamb","2024","97","16","16.5%","75.0%"
"Ja'Marr Chase","2024","93","8","8.6%","75.0%"
"Rashod Bateman","2024","42","4","9.5%","75.0%"
"Tee Higgins","2023","61","12","19.7%","58.3%"
"Mike Evans","2023","65","15","23.1%","73.3%"
"Calvin Ridley","2023","68","13","19.1%","46.2%"
"Marquise Brown","2023","64","7","10.9%","42.9%"
"Michael Pittman","2023","90","13","14.4%","69.2%"
"Gabe Davis","2023","37","8","21.6%","87.5%"
"Jerry Jeudy","2023","52","3","5.8%","0.0%"
"Keenan Allen","2023","95","17","17.9%","70.6%"
"Drake London","2023","61","11","18.0%","72.7%"
"Curtis Samuel","2023","59","10","16.9%","70.0%"
"Diontae Johnson","2023","63","11","17.5%","63.6%"
"Stefon Diggs","2023","80","17","21.3%","70.6%"
"Jaxon Smith-Njigba","2023","60","7","11.7%","71.4%"
"Zay Flowers","2023","60","5","8.3%","80.0%"
"Puka Nacua","2023","95","14","14.7%","64.3%"
"Jayden Reed","2023","55","9","16.4%","33.3%"
"Jordan Addison","2023","64","8","12.5%","50.0%"
"Tank Dell","2023","70","18","25.7%","77.8%"
"Quentin Johnston","2023","36","8","22.2%","12.5%"
"Josh Downs","2023","60","11","18.3%","72.7%"
"Dontayvion Wicks","2023","41","7","17.1%","71.4%"
"Nico Collins","2023","74","8","10.8%","75.0%"
"Jahan Dotson","2023","46","5","10.9%","80.0%"
"Jameson Williams","2023","28","6","21.4%","83.3%"
"George Pickens","2023","60","14","23.3%","78.6%"
"Chris Olave","2023","78","14","17.9%","64.3%"
"Garrett Wilson","2023","85","25","29.4%","68.0%"
"Christian Watson","2023","49","17","34.7%","47.1%"
"Ja'Marr Chase","2023","81","20","24.7%","70.0%"
"Amon-Ra St. Brown","2023","79","9","11.4%","66.7%"
"DeVonta Smith","2023","64","16","25.0%","56.3%"
"Rashee Rice","2023","58","4","6.9%","75.0%"
"Jaylen Waddle","2023","66","9","13.6%","55.6%"
"Michael Wilson","2023","44","15","34.1%","73.3%"
"Demario Douglas","2023","57","8","14.0%","62.5%"
"Rashid Shaheed","2023","44","7","15.9%","71.4%"
"Brandon Aiyuk","2023","56","12","21.4%","83.3%"
"Cooper Kupp","2023","68","5","7.4%","80.0%"
"A.J. Brown","2023","90","14","15.6%","71.4%"
"CeeDee Lamb","2023","97","19","19.6%","78.9%"
"Justin Jefferson","2023","93","28","30.1%","75.0%"
"Davante Adams","2023","94","15","16.0%","73.3%"
"Tyreek Hill","2023","95","14","14.7%","78.6%"
"Rashod Bateman","2023","30","7","23.3%","71.4%"
"Isaiah Hodgins*","2022","43","7","16.3%","85.7%"
"Jakobi Meyers","2022","62","12","19.4%","66.7%"
"Mike Evans","2022","87","14","16.1%","78.6%"
"JuJu Smith-Schuster","2022","49","5","10.2%","80.0%"
"D.J. Chark","2022","41","11","26.8%","72.7%"
"DeAndre Hopkins","2022","90","20","22.2%","80.0%"
"Michael Thomas*","2022","23","9","39.1%","88.9%"
"Allen Lazard","2022","52","11","21.2%","63.6%"
"Parris Campbell","2022","53","5","9.4%","80.0%"
"Chris Olave","2022","75","10","13.3%","70.0%"
"D.J. Moore","2022","64","12","18.8%","75.0%"
"Garrett Wilson","2022","92","25","27.2%","60.0%"
"Elijah Moore","2022","52","7","13.5%","57.1%"
"Brandin Cooks","2022","53","10","18.9%","80.0%"
"Christian Watson","2022","43","8","18.6%","75.0%"
"George Pickens","2022","46","14","30.4%","78.6%"
"Drake London","2022","61","14","23.0%","78.6%"
"Treylon Burks","2022","45","8","17.8%","75.0%"
"Jahan Dotson","2022","50","11","22.0%","81.8%"
"Alec Pierce","2022","48","21","43.8%","66.7%"
"Skyy Moore","2022","36","5","13.9%","80.0%"
"Wan'Dale Robinson*","2022","34","10","29.4%","80.0%"
"Romeo Doubs","2022","45","12","26.7%","58.3%"
"Brandon Aiyuk","2022","55","9","16.4%","77.8%"
"Ja'Marr Chase","2022","88","20","22.7%","75.0%"
"Michael Pittman","2022","80","17","21.3%","70.6%"
"Amon-Ra St. Brown","2022","90","8","8.9%","87.5%"
"Jerry Jeudy","2022","64","3","4.7%","66.7%"
"Jaylen Waddle","2022","67","17","25.4%","70.6%"
"DeVonta Smith","2022","67","17","25.4%","70.6%"
"Justin Jefferson","2022","95","22","23.2%","77.3%"
"CeeDee Lamb","2022","80","15","18.8%","80.0%"
"Tee Higgins","2022","70","17","24.3%","82.4%"
"Kadarius Toney","2022","27","3","11.1%","66.7%"
"Nico Collins","2022","54","12","22.2%","83.3%"
"Gabe Davis","2022","59","11","18.6%","72.7%"
"Deebo Samuel","2022","66","6","9.1%","83.3%"
"Stefon Diggs","2022","84","18","21.4%","72.2%"
"Diontae Johnson","2022","72","13","18.1%","76.9%"
"DK Metcalf","2022","79","23","29.1%","69.6%"
"Terry McLaurin","2022","64","20","31.3%","75.0%"
"A.J. Brown","2022","73","15","20.5%","80.0%"
"Davante Adams","2022","100","16","16.0%","62.5%"
"Keenan Allen","2022","86","12","14.0%","83.3%"
"Amari Cooper","2022","61","15","24.6%","73.3%"
"Tyler Lockett","2022","68","14","20.6%","78.6%"
"Cooper Kupp","2022","96","12","12.5%","83.3%"
"Tyreek Hill","2022","94","20","21.3%","80.0%"
"Marquise Brown","2022","70","11","15.7%","63.6%"
"Christian Kirk","2022","60","7","11.7%","57.1%"
"Mike Williams","2022","64","20","31.3%","70.0%"
"Chris Godwin","2022","91","13","14.3%","61.5%"
"Davante Adams","2021","91","9","9.9%","77.8%"
"Odell Beckham","2021","60","11","18.3%","72.7%"
"Allen Robinson","2021","52","14","26.9%","57.1%"
"Amari Cooper","2021","66","13","19.7%","69.2%"
"D.J. Chark*","2021","25","6","24.0%","50.0%"
"JuJu Smith-Schuster*","2021","28","4","14.3%","75.0%"
"Russell Gage","2021","68","19","27.9%","78.9%"
"Jarvis Landry","2021","65","10","15.4%","70.0%"
"Christian Kirk","2021","53","12","22.6%","83.3%"
"Marquez Valdes-Scantling","2021","50","6","12.0%","66.7%"
"Ja'Marr Chase","2021","80","17","21.3%","76.5%"
"Jaylen Waddle","2021","83","12","14.5%","83.3%"
"Amon-Ra St. Brown","2021","69","10","14.5%","80.0%"
"DeVonta Smith","2021","56","11","19.6%","63.6%"
"Elijah Moore","2021","65","11","16.9%","63.6%"
"Rashod Bateman","2021","54","11","20.4%","81.8%"
"Joshua Palmer","2021","37","6","16.2%","66.7%"
"Nico Collins","2021","46","8","17.4%","62.5%"
"Kadarius Toney","2021","55","6","10.9%","66.7%"
"Rondale Moore","2021","43","2","4.7%","50.0%"
"Terrace Marshall","2021","24","3","12.5%","33.3%"
"A.J. Brown","2021","71","18","25.4%","77.8%"
"Hunter Renfrow","2021","66","11","16.7%","63.6%"
"Darnell Mooney","2021","73","13","17.8%","46.2%"
"Michael Pittman","2021","70","20","28.6%","85.0%"
"Gabriel Davis","2021","54","12","22.2%","83.3%"
"Jerry Jeudy","2021","51","6","11.8%","50.0%"
"Marquise Brown","2021","84","9","10.7%","44.4%"
"CeeDee Lamb","2021","59","8","13.6%","75.0%"
"Deebo Samuel","2021","71","8","11.3%","75.0%"
"Justin Jefferson","2021","70","12","17.1%","50.0%"
"Tee Higgins","2021","67","21","31.3%","81.0%"
"Terry McLaurin","2021","76","26","34.2%","80.8%"
"DK Metcalf","2021","55","6","10.9%","66.7%"
"Brandon Aiyuk","2021","47","11","23.4%","72.7%"
"Diontae Johnson","2021","87","11","12.6%","63.6%"
"Chase Claypool","2021","69","26","37.7%","46.2%"
"Van Jefferson","2021","54","10","18.5%","70.0%"
"Mike Williams","2021","65","15","23.1%","80.0%"
"Chris Godwin","2021","86","14","16.3%","78.6%"
"Robert Woods","2021","70","9","12.9%","55.6%"
"DeAndre Hopkins","2021","58","14","24.1%","71.4%"
"Cooper Kupp","2021","98","13","13.3%","84.6%"
"Tyreek Hill","2021","79","11","13.9%","63.6%"
"Stefon Diggs","2021","79","16","20.3%","87.5%"
"Tyler Lockett","2021","63","20","31.7%","75.0%"
"D.J. Moore","2021","82","13","15.9%","76.9%"
"Keenan Allen","2021","86","15","17.4%","73.3%"
"Brandin Cooks","2021","68","8","11.8%","75.0%"
"Mike Evans","2021","54","7","13.0%","85.7%"
"Allen Lazard","2021","35","9","25.7%","77.8%"
"Kenny Golladay","2021","51","15","29.4%","73.3%"
"Tim Patrick","2021","48","12","25.0%","83.3%"
"Tyler Boyd","2021","69","9","13.0%","66.7%"
"Courtland Sutton","2021","69","13","18.8%","76.9%"
"Jakobi Meyers","2021","72","14","19.4%","71.4%"
"Julio Jones","2021","44","12","27.3%","83.3%"
"Calvin Ridley*","2021","57","10","17.5%","40.0%"
"Justin Jefferson","2020","67","16","23.9%","81.3%"
"CeeDee Lamb","2020","58","6","10.3%","66.7%"
"Allen Robinson","2020","89","26","29.2%","73.1%"
"Chris Godwin","2020","60","14","23.3%","92.9%"
"Will Fuller","2020","65","11","16.9%","72.7%"
"Kenny Golladay*","2020","36","14","38.9%","85.7%"
"Antonio Brown","2020","62","9","14.5%","77.8%"
"Curtis Samuel","2020","66","10","15.2%","90.0%"
"Corey Davis","2020","63","21","33.3%","81.0%"
"JuJu Smith-Schuster","2020","74","15","20.3%","80.0%"
"Nelson Agholor","2020","55","12","21.8%","58.3%"
"T.Y. Hilton","2020","67","15","22.4%","73.3%"
"Rashard Higgins","2020","46","12","26.1%","75.0%"
"Marvin Jones","2020","66","22","33.3%","81.8%"
"Denzel Mims","2020","46","11","23.9%","72.7%"
"Henry Ruggs","2020","30","6","20.0%","33.3%"
"Tee Higgins","2020","72","16","22.2%","68.8%"
"Brandon Aiyuk","2020","71","15","21.1%","66.7%"
"Michael Pittman","2020","40","3","7.5%","33.3%"
"Jalen Reagor","2020","40","10","25.0%","40.0%"
"Jerry Jeudy","2020","68","15","22.1%","60.0%"
"LaViska Shenault","2020","61","8","13.1%","87.5%"
"Chase Claypool","2020","67","15","22.4%","46.7%"
"Darnell Mooney","2020","49","12","24.5%","66.7%"
"Gabriel Davis","2020","43","13","30.2%","69.2%"
"Julio Jones","2020","68","11","16.2%","72.7%"
"Diontae Johnson","2020","104","16","15.4%","81.3%"
"A.J. Brown","2020","66","17","25.8%","82.4%"
"Calvin Ridley","2020","86","22","25.6%","68.2%"
"Marquise Brown","2020","60","7","11.7%","57.1%"
"D.J. Moore","2020","62","13","21.0%","76.9%"
"DK Metcalf","2020","73","16","21.9%","81.3%"
"D.J. Chark","2020","64","18","28.1%","66.7%"
"Terry McLaurin","2020","72","9","12.5%","77.8%"
"Deebo Samuel*","2020","44","4","9.1%","75.0%"
"Michael Gallup","2020","51","14","27.5%","78.6%"
"Odell Beckham*","2020","49","7","14.3%","71.4%"
"Michael Thomas","2020","62","22","35.5%","81.8%"
"Mike Williams","2020","59","22","37.3%","72.7%"
"Robby Anderson","2020","78","11","14.1%","36.4%"
"Davante Adams","2020","103","24","23.3%","75.0%"
"Tyreek Hill","2020","77","12","15.6%","83.3%"
"Stefon Diggs","2020","89","16","18.0%","93.8%"
"DeAndre Hopkins","2020","89","13","14.6%","84.6%"
"Adam Thielen","2020","64","13","20.3%","84.6%"
"Tyler Lockett","2020","87","9","10.3%","77.8%"
"Mike Evans","2020","70","9","12.9%","77.8%"
"Keenan Allen","2020","112","13","11.6%","84.6%"
"Robert Woods","2020","85","9","10.6%","66.7%"
"Amari Cooper","2020","70","8","11.4%","50.0%"
"Cooper Kupp","2020","67","5","7.5%","80.0%"
"Jakobi Meyers","2020","64","4","6.3%","75.0%"
"A.J. Brown","2019","53","13","24.5%","76.9%"
"Adam Thielen","2019","50","11","22.0%","81.8%"
"Allen Robinson","2019","76","20","26.3%","85.0%"
"Alshon Jeffery","2019","74","15","20.3%","73.3%"
"Amari Cooper","2019","66","12","18.2%","66.7%"
"Anthony Miller","2019","72","12","16.7%","75.0%"
"Brandin Cooks","2019","49","10","20.4%","70.0%"
"Calvin Ridley","2019","70","23","32.9%","69.6%"
"Chris Godwin","2019","72","19","26.4%","84.2%"
