"Rank","Player","Draft Year","Notes","Buy/Sell/Hold"
"1","Ja'Marr Chase","2021","No holes in his game. Tied to Burrow for years. Can't imagine trading him.","Buy"
"2","Justin Jefferson","2020","Elite player. The best in the game. Future of the QB position is in flux.","Buy"
"3","Puka Nacua","2023","Only getting better after record-breaking rookie year. Graduated after dominant Year 2 charting.","Super Buy"
"4","CeeDee Lamb","2020","Officially graduated into the elite-tier of real-life NFL receivers in 2023. No changes there.","Buy"
"5","Malik Nabers","2024","The Giants built their entire offense out of getting him the ball and he has elite talent.","Buy"
"6","Nico Collins","2021","Nico Collins is an elite talent, who produces, tied to a good quarterback. Don't overthink it.","Super Buy"
"7","Drake London","2022","Dominant underneath separator with downfield upside. Situations is awesome now, too.","Super Buy"
"8","Amon-Ra St. Brown","2021","QB-proof role and pristine chain-mover. Has consistently improved each year.","Buy"
"9","Brian Thomas Jr.","2024","Made an impact earlier than expected as a rookie and got better through the year.","Buy"
"10","Ladd McConkey","2024","Walked into the Chargers room and instantly became WR1. He was the best rookie on film.","Super Buy"
"11","Jaxon Smith-Njigba","2023","Better rookie year than categorized and had a legit breakout in Year 2. He's quite good.","Buy"
"12","Tetairoa McMillan","2025","Should immediately assume the starting X-receiver position. Bryce Young is ascending.","Buy"
"13","Travis Hunter","2025","One of the best WR prospects I've ever seen. Landed with a team that views him WR-first.","Super Buy"
"14","Garrett Wilson","2022","Explosive route-runner and in space player. Needs to tighten up details to be truly elite.","Buy"
"15","Rome Odunze","2024","Rookie year film was great in multiple spots, despite poor stats. Best is yet to come.","Super Buy"
"16","Marvin Harrison Jr.","2024","Tricky eval. Film was good but he has flaws. Situation is mixed too. Questionable QB pairing.","Hold"
"17","Rashee Rice","2023","Not a complete WR but good and improving big slot. Little bit of a risky profile, for now.","Hold"
"18","A.J. Brown","2019","Still among the game's elite WRs even if this past season's offense didn't show it.","Hold"
"19","Tee Higgins","2020","One of the best No. 2 receivers in league. Love that he's sticking in Cincy with Burrow, Chase.","Hold"
"20","Zay Flowers","2023","Love this player and believe Ravens offense is evolving. Can thrive inside and out.","Buy"
"21","Emeka Egbuka","2025","Such a good player and runway has been cleared in a previously crowded room.","Super Buy"
"22","Chris Olave","2022","I'd argue few players had a more unlucky run out this season. Still a good WR.","Buy"
"23","Brandon Aiyuk","2020","Suffered a serious injury this season. Unsure when we'll see his best again.","Hold"
"24","DeVonta Smith","2021","High-end separator and we bet on those types. Will be volatile with AJB in town.","Hold"
"25","George Pickens","2022","I have gotten very excited about the fit in Dallas and he's coming off his best year. Will rise.","Super Buy"
"26","Matthew Golden","2025","Brings speed and vertical separation to a team that lacked it last season.","Buy"
"27","Ricky Pearsall","2024","Awesome finish to the season in RP after being shot last offseason.. Nice breakout candidate.","Super Buy"
