"Player","CHK Tar","CHK SR","FLT Tar","FLT SR","CBK Tar","CBK SR","OUT Tar","OUT SR","CNR Tar","CNR SR","NIN Tar","NIN SR","PST Tar","PST SR","DIG Tar","DIG SR","CRL Tar","CRL SR","SLT Tar","SLT SR","SCR Tar","SCR SR","OTH Tar","OTH SR"
"Matthew Stafford","6.3%","84.6%","13.5%","82.1%","2.9%","83.3%","17.4%","83.3%","3.9%","62.5%","6.3%","61.5%","5.8%","58.3%","4.4%","77.8%","18.8%","76.9%","8.7%","61.1%","10.6%","100.0%","1.5%","0.0%"
"Sam Darnold","7.8%","90.0%","9.4%","91.7%","1.2%","66.7%","11.7%","80.0%","3.5%","33.3%","3.9%","50.0%","11.3%","65.5%","9.0%","56.5%","15.6%","85.0%","3.5%","44.4%","11.3%","89.7%","12.1%","74.2%"
"Geno Smith","13.4%","92.9%","11.0%","95.7%","0.5%","100.0%","7.2%","93.3%","3.8%","50.0%","7.7%","56.3%","6.7%","78.6%","2.9%","100.0%","23.4%","89.8%","3.8%","62.5%","11.5%","91.7%","8.1%","76.5%"
"Josh Allen","5.5%","90.9%","6.0%","91.7%","0.0%","N/A","3.5%","85.7%","4.0%","50.0%","10.5%","76.2%","5.5%","72.7%","5.5%","63.6%","17.9%","97.2%","11.0%","81.8%","15.4%","93.6%","15.4%","67.7%"
"Jalen Hurts","9.0%","100.0%","14.1%","90.9%","3.9%","83.3%","7.7%","75.0%","1.9%","66.7%","9.0%","50.0%","4.5%","85.7%","3.2%","100.0%","14.74%","91.3%","11.5%","88.9%","12.2%","84.2%","7.7%","67.7%"
"Patrick Mahomes","5.9%","80.0%","12.6%","90.6%","1.6%","75.0%","10.6%","63.0%","2.8%","71.4%","6.7%","64.7%","8.2%","57.1%","2.4%","66.7%","20.0%","92.2%","9.8%","88.0%","11.4%","89.7%","8.2%","71.4%"
"Lamar Jackson","9.3%","88.2%","7.1%","92.3%","2.2%","50.0%","8.2%","80.0%","8.8%","62.5%","3.3%","83.3%","8.2%","80.0%","10.4%","79.0%","13.2%","91.7%","6.0%","90.9%","10.4%","89.5%","12.6%","78.3%"
"Michael Penix","6.9%","87.5%","7.8%","55.6%","6.9%","62.5%","14.7%","88.2%","4.3%","40.0%","7.8%","33.3%","9.5%","72.7%","3.5%","50.0%","21.6%","96.0%","5.2%","100.0%","6.0%","85.7%","6.0%","71.4%"
"Aaron Rodgers","9.9%","95.5%","10.8%","83.3%","4.5%","90.0%","8.1%","77.8%","1.8%","75.0%","11.3%","56.0%","5.0%","63.6%","5.0%","54.6%","10.4%","91.3%","11.7%","69.2%","12.2%","100.0%","9.5%","57.1%"
"Anthony Richardson","4.6%","100.0%","5.1%","70.0%","3.6%","57.1%","12.3%","54.2%","6.2%","33.3%","13.3%","38.5%","11.3%","40.9%","9.2%","44.4%","12.8%","60.0%","5.6%","63.6%","8.7%","100.0%","7.2%","64.3%"
"Bryce Young","7.4%","86.7%","10.3%","71.4%","1.0%","100.0%","13.2%","66.7%","3.4%","71.4%","9.3%","47.4%","8.3%","64.7%","8.8%","72.2%","7.8%","87.5%","12.3%","76.0%","12.3%","84.0%","5.9%","41.7%"
"Caleb Williams","8.6%","94.1%","8.1%","87.5%","3.0%","66.7%","13.1%","73.1%","3.5%","57.1%","6.6%","30.8%","8.1%","62.5%","2.5%","40.0%","13.6%","81.5%","6.6%","69.2%","15.2%","90.0%","11.1%","68.2%"
"Daniel Jones","5.7%","53.9%","9.6%","90.9%","3.9%","66.7%","10.5%","79.2%","2.6%","50.0%","7.0%","50.0%","5.7%","76.9%","5.2%","50.0%","18.8%","79.1%","17.0%","71.8%","8.7%","85.0%","5.2%","83.3%"
"Justin Fields","16.1%","83.3%","10.1%","93.3%","1.3%","100.0%","14.1%","71.4%","3.4%","20.0%","8.1%","50.0%","4.7%","100.0%","4.0%","33.3%","18.8%","82.1%","4.0%","66.7%","5.4%","87.5%","10.1%","73.3%"
"Drake Maye","9.6%","90.0%","7.2%","93.3%","1.0%","50.0%","10.6%","86.4%","4.3%","66.7%","4.3%","66.7%","6.3%","61.5%","6.3%","53.9%","21.6%","88.9%","9.6%","55.0%","12.0%","96.0%","6.7%","85.7%"
"Jayden Daniels","6.5%","92.3%","10.5%","90.5%","3.5%","85.7%","7.5%","66.7%","2.0%","75.0%","7.0%","50.0%","6.5%","61.5%","5.0%","50.0%","18.9%","89.5%","12.9%","76.9%","15.4%","93.6%","4.5%","66.7%"
"Bo Nix","13.0%","82.8%","8.1%","83.3%","1.4%","100.0%","6.7%","60.0%","1.4%","0.0%","7.6%","47.1%","5.8%","69.2%","9.0%","40.0%","11.7%","80.8%","11.2%","64.0%","15.3%","91.2%","8.5%","73.7%"
"Trevor Lawrence","6.9%","93.3%","6.5%","78.6%","4.2%","66.7%","14.8%","71.9%","6.0%","76.9%","5.1%","45.5%","9.3%","75.0%","2.8%","100.0%","19.9%","81.4%","7.4%","93.8%","13.0%","89.3%","4.2%","55.6%"
"CJ Stroud","7.0%","86.7%","8.9%","84.2%","2.8%","83.3%","15.0%","68.8%","4.2%","44.4%","3.7%","50.0%","12.6%","63.0%","6.1%","69.2%","14.0%","86.7%","7.9%","76.5%","11.2%","91.7%","6.5%","71.4%"
