"Year","Player","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"2024","Andrew Armstrong","257","0.8","26.5","17.5","15.6","9.7","17.1","1.2","2.3","6.2","0.0","3.1"
"2024","Elic Ayomanor","304","0.7","17.1","26.6","11.8","4.3","23.7","2.6","3.3","5.6","2.3","2.0"
"2024","Emeka Egbuka","210","5.2","19.0","9.5","18.1","8.6","9.0","5.2","6.7","1.9","11.0","5.7"
"2024","Isaac TeSlaa","161","2.5","9.9","11.2","14.3","14.3","16.8","8.7","12.4","4.3","3.7","1.9"
"2024","Isaiah Bond","172","6.4","16.3","12.8","15.1","12.8","15.1","5.2","7.0","2.9","3.5","2.9"
"2024","Jack Bech","266","1.1","21.4","20.7","7.9","10.2","14.7","4.1","8.3","3.8","3.0","4.9"
"2024","Jalen Royals*","247","8.9","24.7","29.1","8.9","4.0","14.6","2.4","1.6","1.2","2.0","2.4"
"2024","Jayden Higgins","269","0.4","24.5","13.4","16.4","4.8","19.0","4.1","11.9","2.6","1.5","1.5"
"2024","Jaylin Noel","302","2.6","20.5","12.6","5.6","14.2","18.2","3.3","7.3","2.6","11.3","1.7"
"2024","Kyle Williams","297","5.4","17.8","17.2","9.8","11.1","17.2","3.0","10.4","0.7","4.7","2.7"
"2024","Luther Burden","238","10.9","15.1","8.0","7.6","11.8","16.8","5.0","9.2","1.3","9.7","4.6"
"2024","Matthew Golden","212","6.1","16.0","14.2","17.0","10.4","12.7","7.1","6.6","2.8","3.8","3.3"
"2024","Tai Felton","291","9.3","21.3","11.3","8.9","6.2","21.3","6.5","6.2","4.8","2.1","2.1"
"2024","Tetairoa McMillan","284","2.1","16.2","18.0","14.1","9.5","13.7","4.9","9.5","6.3","2.1","3.2"
"2024","Tez Johnson*","159","8.2","18.9","6.9","8.2","12.6","11.9","4.4","10.1","1.3","13.8","3.8"
"2024","Tory Horton","226","5.8","25.7","11.1","8.0","11.5","17.3","4.9","6.2","2.7","3.1","4.0"
"2024","Travis Hunter","283","7.4","22.6","23.7","13.4","5.3","14.5","2.1","2.8","1.8","2.1","4.2"
"2024","Tre Harris","252","6.0","13.5","29.4","10.7","11.5","20.6","3.6","3.2","0.0","0.8","0.8"
"2024","Xavier Restrepo","295","4.7","19.0","9.2","14.2","17.6","7.5","7.5","7.8","1.4","5.1","6.1"
