"Player","Year","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"Tee Higgins","2024","306","1.3","15.7","15.0","18.6","4.9","14.4","7.2","11.1","3.9","3.3","4.6"
"Chris Godwin*","2024","232","6.9","19.4","14.2","17.2","6.5","3.9","2.6","10.8","1.7","11.6","5.2"
"Davante Adams","2024","261","1.9","25.7","6.5","10.7","7.3","17.6","6.1","9.6","1.9","10.7","1.9"
"Deebo Samuel","2024","247","11.3","23.9","9.3","12.6","3.6","15.4","2.8","5.3","4.0","7.7","4.0"
"Amari Cooper","2024","164","0.6","22.0","23.8","10.4","4.9","24.4","4.3","3.7","0.0","1.8","4.3"
"DK Metcalf","2024","284","1.1","21.5","12.7","13.0","9.2","23.6","4.6","8.8","1.1","3.2","1.4"
"Marquise Brown*","2024","114","3.5","22.8","10.5","8.8","9.6","18.4","6.1","9.6","0.9","6.1","3.5"
"DeAndre Hopkins","2024","205","0.5","29.8","11.2","12.7","6.3","13.2","5.4","13.2","1.5","3.9","2.4"
"Cooper Kupp","2024","236","3.4","14.4","14.4","14.8","6.4","10.2","5.1","13.6","1.3","13.6","3.0"
"Stefon Diggs","2024","265","3.8","22.3","11.3","15.1","9.1","6.4","3.8","10.6","2.3","9.4","6.0"
"Rome Odunze","2024","309","2.9","14.9","15.2","12.6","8.4","17.8","6.8","9.4","2.6","3.9","5.5"
"Marvin Harrison Jr.","2024","266","0.4","14.3","15.4","24.1","7.1","15.4","5.6","10.2","3.0","1.9","2.6"
"Brian Thomas Jr.","2024","246","6.5","15.9","12.6","18.7","6.9","13.0","3.3","11.0","2.8","5.7","3.7"
"Malik Nabers","2024","264","6.1","20.1","17.8","13.3","5.3","17.0","3.0","8.3","1.1","6.4","1.5"
"Ladd McConkey","2024","231","1.7","16.9","14.7","21.6","8.2","6.1","2.6","10.4","4.3","6.9","6.5"
"Ricky Pearsall","2024","232","2.2","12.1","6.5","19.0","7.3","11.2","3.0","12.1","8.2","9.1","9.5"
"Xavier Worthy","2024","244","11.1","17.2","5.3","3.7","12.7","16.0","7.8","8.2","1.2","11.9","4.9"
"Xavier Legette","2024","243","3.3","28.0","11.1","8.6","11.5","15.6","5.8","7.0","1.2","6.2","1.6"
"Keon Coleman","2024","203","2.5","24.6","17.7","7.9","3.9","28.1","3.9","4.9","1.0","0.0","5.4"
"Adonai Mitchell","2024","146","1.4","14.4","11.6","11.0","9.6","26.7","9.6","7.5","1.4","4.1","2.7"
"Jalen Coker","2024","246","1.6","17.1","6.9","15.4","10.2","14.2","7.3","11.8","1.6","6.9","6.9"
"Ja'Lynn Polk","2024","173","1.2","16.2","16.2","14.5","6.9","22.5","8.7","4.6","1.2","4.0","4.0"
"Jalen McMillan","2024","236","5.5","11.9","13.1","19.1","9.3","11.4","4.7","15.7","0.8","5.1","3.4"
"Puka Nacua","2024","236","9.3","20.3","8.5","17.4","5.9","7.6","3.0","16.5","0.4","6.8","4.2"
"Rashee Rice*","2024","90","10.0","36.7","10.0","13.3","2.2","4.4","0.0","5.6","1.1","8.9","7.8"
"Jaxon Smith-Njigba","2024","306","3.9","17.6","12.7","13.1","10.5","7.2","10.5","7.8","3.6","9.2","3.9"
"Jordan Addison","2024","288","4.9","9.7","9.4","19.4","10.4","11.8","3.8","14.2","7.3","4.5","4.5"
"Jayden Reed","2024","223","11.7","14.8","9.0","10.8","22.0","5.4","4.9","6.7","0.4","9.9","4.5"
"Josh Downs","2024","239","10.5","15.9","12.6","9.2","10.5","7.1","3.3","8.8","1.7","15.1","5.4"
"Cedric Tillman","2024","238","1.3","28.2","11.8","16.4","6.7","11.3","4.2","4.6","3.4","8.0","4.2"
"Zay Flowers","2024","221","11.8","11.3","10.4","14.9","9.5","8.6","4.5","15.4","1.4","6.3","5.9"
"Dontayvion Wicks","2024","161","3.1","9.3","18.0","19.9","6.2","11.8","5.0","10.6","3.1","8.1","5.0"
"Marvin Mims","2024","123","24.4","5.7","9.8","1.6","14.6","18.7","7.3","3.3","0.0","9.8","4.9"
"Quentin Johnston","2024","232","2.6","18.1","15.5","10.8","5.6","25.0","3.4","5.6","8.6","2.6","2.2"
"Jameson Williams","2024","218","2.8","19.7","10.1","14.7","15.6","13.8","6.9","6.9","1.8","5.0","2.8"
"George Pickens","2024","244","2.5","13.9","8.6","11.9","6.1","18.4","9.0","14.3","2.9","7.8","4.5"
"Garrett Wilson","2024","307","6.5","26.4","9.4","7.5","6.8","21.5","4.2","7.5","1.3","6.2","2.6"
"Chris Olave","2024","187","3.2","15.0","11.8","20.3","8.6","10.7","3.2","12.8","3.7","7.0","3.7"
"Khalil Shakir","2024","212","12.7","27.8","7.5","7.5","10.8","5.7","3.3","2.4","0.5","10.8","10.8"
"Drake London","2024","263","0.8","10.6","16.0","27.0","6.8","10.3","5.7","14.4","2.7","2.7","3.0"
"Tyreek Hill","2024","241","4.1","10.8","10.0","18.3","14.9","12.0","5.8","12.0","2.1","5.8","4.1"
