"Year","Player","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"2024","Andrew Armstrong","257","100.0%","83.8","84.4","85.0","68.0","43.2","66.7","50.0","87.5","0.0","75.0"
"2024","Elic Ayomanor","304","100.0%","86.5","70.4","80.6","76.9","54.2","87.5","60.0","76.5","100.0","83.3"
"2024","Emeka Egbuka","210","100.0%","87.5","75.0","73.7","66.7","47.4","63.6","78.6","100.0","82.6","83.3"
"2024","Isaac TeSlaa","161","100.0%","87.5","61.1","69.6","73.9","66.7","78.6","80.0","71.4","100.0","100.0"
"2024","Isaiah Bond","172","100.0%","75.0","59.1","80.8","77.3","69.2","44.4","66.7","80.0","100.0","40.0"
"2024","Jack Bech","266","100.0%","82.5","80.0","81.0","77.8","41.0","54.5","100.0","100.0","100.0","92.3"
"2024","Jalen Royals*","247","100.0%","73.8","73.6","77.3","60.0","61.1","16.7","100.0","33.3","60.0","50.0"
"2024","Jayden Higgins","269","100.0%","71.2","83.3","68.2","69.2","56.9","45.5","65.6","57.1","75.0","25.0"
"2024","Jaylin Noel","302","100.0%","82.3","73.7","94.1","83.7","58.2","70.0","77.3","87.5","88.2","80.0"
"2024","Kyle Williams","297","93.8%","86.8","88.2","72.4","72.7","56.9","55.6","83.9","100.0","85.7","87.5"
"2024","Luther Burden","238","100.0%","77.8","84.2","77.8","67.9","55.0","75.0","90.9","66.7","82.6","72.7"
"2024","Matthew Golden","212","100.0%","79.4","70.0","80.6","77.3","63.0","66.7","78.6","66.7","100.0","71.4"
"2024","Tai Felton","291","100.0%","82.3","81.8","65.4","61.1","53.2","57.9","83.3","78.6","100.0","83.3"
"2024","Tetairoa McMillan","284","100.0%","76.1","76.5","82.5","77.8","48.7","64.3","77.8","88.9","83.3","88.9"
"2024","Tez Johnson*","159","100.0%","76.7","63.6","76.9","70.0","36.8","57.1","56.3","100.0","86.4","66.7"
"2024","Tory Horton","226","100.0%","87.9","64.0","83.3","73.1","56.4","54.5","85.7","100.0","100.0","77.8"
"2024","Travis Hunter","283","100.0%","85.9","86.6","84.2","80.0","63.4","66.7","100.0","80.0","100.0","91.7"
"2024","Tre Harris","252","100.0%","85.3","87.8","66.7","55.2","61.5","44.4","62.5","0.0","100.0","50.0"
"2024","Xavier Restrepo","295","100.0%","82.1","66.7","71.4","51.9","45.5","86.4","73.9","50.0","86.7","83.3"
