"Player","Year","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"Tee Higgins","2024","306","100.0%","72.9%","91.3%","68.4%","80.0%","61.4%","68.2%","67.6%","83.3%","60.0%","85.7%"
"Chris Godwin*","2024","232","100.0%","80.0%","75.8%","77.5%","66.7%","44.4%","33.3%","96.0%","100.0%","85.2%","83.3%"
"Davante Adams","2024","261","100.0%","80.6%","76.5%","85.7%","73.7%","58.7%","68.8%","80.0%","80.0%","78.6%","80.0%"
"Deebo Samuel","2024","247","100.0%","76.3%","52.2%","71.0%","55.6%","36.8%","42.9%","46.2%","40.0%","84.2%","50.0%"
"Amari Cooper","2024","164","100.0%","86.1%","71.8%","70.6%","87.5%","30.0%","71.4%","100.0%","N/A","66.7%","85.7%"
"DK Metcalf","2024","284","100.0%","83.6%","47.2%","78.4%","69.2%","62.7%","69.2%","80.0%","66.7%","66.7%","75.0%"
"Marquise Brown*","2024","114","100.0%","69.2%","58.3%","80.0%","63.6%","57.1%","42.9%","90.9%","100.0%","85.7%","50.0%"
"DeAndre Hopkins","2024","205","100.0%","78.7%","87.0%","65.4%","53.8%","37.0%","72.7%","77.8%","66.7%","62.5%","80.0%"
"Cooper Kupp","2024","236","100.0%","64.7%","67.6%","68.6%","53.3%","50.0%","41.7%","78.1%","0.0%","81.3%","42.9%"
"Stefon Diggs","2024","265","100.0%","79.7%","76.7%","70.0%","70.8%","47.1%","80.0%","75.0%","83.3%","88.0%","87.5%"
"Rome Odunze","2024","309","100.0%","78.3%","80.9%","84.6%","76.9%","56.4%","66.7%","89.7%","50.0%","83.3%","88.2%"
"Marvin Harrison Jr.","2024","266","100.0%","81.6%","75.6%","87.5%","84.2%","51.2%","80.0%","74.1%","87.5%","80.0%","85.7%"
"Brian Thomas Jr.","2024","246","100.0%","74.4%","77.4%","78.3%","76.5%","71.9%","50.0%","63.0%","85.7%","85.7%","88.9%"
"Malik Nabers","2024","264","100.0%","84.9%","76.6%","77.1%","92.9%","64.4%","62.5%","63.6%","100.0%","82.4%","75.0%"
"Ladd McConkey","2024","231","100.0%","74.4%","82.4%","80.0%","73.7%","71.4%","66.7%","83.3%","90.0%","81.3%","80.0%"
"Ricky Pearsall","2024","232","100.0%","71.4%","86.7%","70.5%","70.6%","61.5%","57.1%","82.1%","78.9%","85.7%","86.4%"
"Xavier Worthy","2024","244","100.0%","66.7%","69.2%","77.8%","71.0%","56.4%","73.7%","55.0%","66.7%","86.2%","83.3%"
"Xavier Legette","2024","243","100.0%","77.9%","70.4%","81.0%","78.6%","42.1%","50.0%","70.6%","66.7%","86.7%","75.0%"
"Keon Coleman","2024","203","100.0%","80.0%","61.1%","68.8%","37.5%","42.1%","50.0%","40.0%","0.0%","N/A","81.8%"
"Adonai Mitchell","2024","146","100.0%","90.5%","88.2%","68.8%","50.0%","59.0%","50.0%","90.9%","50.0%","66.7%","75.0%"
"Jalen Coker","2024","246","100.0%","88.1%","64.7%","73.7%","80.0%","51.4%","50.0%","86.2%","50.0%","82.4%","94.1%"
"Ja'Lynn Polk","2024","173","100.0%","71.4%","71.4%","76.0%","58.3%","41.0%","60.0%","62.5%","100.0%","85.7%","85.7%"
"Jalen McMillan","2024","236","100.0%","60.7%","54.8%","73.3%","72.7%","63.0%","81.8%","73.0%","50.0%","83.3%","37.5%"
"Puka Nacua","2024","236","100.0%","83.3%","90.0%","80.5%","85.7%","55.6%","42.9%","87.2%","100.0%","87.5%","60.0%"
"Rashee Rice*","2024","90","100.0%","78.8%","66.7%","75.0%","100.0%","50.0%","N/A","100.0%","100.0%","100.0%","71.4%"
"Jaxon Smith-Njigba","2024","306","100.0%","81.5%","69.2%","77.5%","71.9%","45.5%","71.9%","83.3%","90.9%","92.9%","100.0%"
"Jordan Addison","2024","288","100.0%","75.0%","81.5%","80.4%","76.7%","52.9%","63.6%","73.2%","66.7%","92.3%","84.6%"
"Jayden Reed","2024","223","100.0%","78.8%","55.0%","79.2%","81.6%","66.7%","72.7%","60.0%","100.0%","86.4%","100.0%"
"Josh Downs","2024","239","100.0%","76.3%","76.7%","77.3%","76.0%","52.9%","75.0%","85.7%","100.0%","94.4%","92.3%"
"Cedric Tillman","2024","238","100.0%","83.6%","75.0%","76.9%","50.0%","48.1%","80.0%","72.7%","62.5%","78.9%","80.0%"
"Zay Flowers","2024","221","100.0%","72.0%","91.3%","84.8%","71.4%","63.2%","80.0%","79.4%","33.3%","85.7%","69.2%"
"Dontayvion Wicks","2024","161","100.0%","93.3%","72.4%","71.9%","70.0%","57.9%","87.5%","82.4%","60.0%","84.6%","75.0%"
"Marvin Mims","2024","123","100.0%","57.1%","66.7%","0.0%","33.3%","56.5%","77.8%","75.0%","N/A","83.3%","50.0%"
