"Year","Player","man atts.","Success Rate vs. Man","zone atts.","Success Rate vs. Zone","dbl atts.","Success Rate vs. Double","press atts.","Success Rate vs. Press","Routes","% Press","% Man","% Zone","% Doubled"
"2024","Travis Hunter","126","78.6","157","87.9","27","66.7","64","84.4","283","22.6","44.5","55.5","9.5"
"2024","Jack Bech","141","74.5","125","80.8","7","57.1","68","79.4","266","25.6","53.0","47.0","2.6"
"2024","Jaylin Noel","143","74.1","159","81.8","13","61.5","38","68.4","302","12.6","47.4","52.6","4.3"
"2024","Kyle Williams","135","73.3","162","81.5","10","50.0","49","73.5","297","16.5","45.5","54.5","3.4"
"2024","Tre Harris","123","73.2","129","75.2","16","31.3","36","72.2","252","14.3","48.8","51.2","6.3"
"2024","Tory Horton","108","72.2","118","81.4","10","50.0","28","82.1","226","12.4","47.8","52.2","4.4"
"2024","Luther Burden","73","71.2","165","79.4","19","31.6","10","70.0","238","4.2","30.7","69.3","8.0"
"2024","Elic Ayomanor","182","70.9","122","74.6","20","75.0","65","64.6","304","21.4","59.9","40.1","6.6"
"2024","Tetairoa McMillan","162","70.4","121","81.0","35","54.3","52","73.1","283","18.4","57.2","42.8","12.4"
"2024","Isaiah Bond","68","69.1","104","75.0","6","83.3","26","57.7","172","15.1","39.5","60.5","3.5"
"2024","Jalen Royals*","122","68.9","125","74.4","21","66.7","31","64.5","247","12.6","49.4","50.6","8.5"
"2024","Matthew Golden","92","68.5","120","82.5","10","80.0","43","67.4","212","20.3","43.4","56.6","4.7"
"2024","Emeka Egbuka","94","68.1","116","83.6","19","36.8","16","81.3","210","7.6","44.8","55.2","9.0"
"2024","Andrew Armstrong","126","66.7","131","82.4","5","40.0","54","74.1","257","21.0","49.0","51.0","1.9"
"2024","Isaac TeSlaa","65","66.2","96","81.3","4","50.0","6","50.0","161","3.7","40.4","59.6","2.5"
"2024","Xavier Restrepo","135","65.2","160","76.9","6","66.7","25","52.0","295","8.5","45.8","54.2","2.0"
"2024","Tai Felton","114","63.2","177","80.2","6","50.0","23","52.2","291","7.9","39.2","60.8","2.1"
"2024","Jayden Higgins","157","58.6","112","78.6","5","80.0","73","50.7","269","27.1","58.4","41.6","1.9"
"2024","Tez Johnson*","67","58.2","92","79.3","3","33.3","9","44.4","159","5.7","42.1","57.9","1.9"
