"Player","Year","Man Att","SR v Man","Zone Att","SR v Zone","Dbl Att","SR v Dlbl","Press Att","SR v Press","Routes","Press%","Man%","Zone%","Double%"
"Stefon Diggs","2020","149","82.6%","122","79.5%","37","70.3%","80","83.8%","271","29.5%","55.0%","45.0%","13.7%"
"Michael Thomas","2018","152","82.2%","121","89.3%","28","67.9%","101","82.2%","273","37.0%","55.7%","44.3%","10.3%"
"Odell Beckham","2014","166","80.1%","130","83.8%","28","67.9%","90","86.7%","296","30.4%","56.1%","43.9%","9.5%"
"Odell Beckham","2018","168","79.8%","171","81.3%","38","86.8%","101","84.2%","339","29.8%","49.6%","50.4%","11.2%"
"Antonio Brown","2014","187","79.7%","108","93.6%","31","80.6%","99","82.0%","295","33.6%","63.4%","36.6%","10.5%"
"Davante Adams","2021","142","79.6%","113","87.6%","58","81.0%","92","85.9%","255","36.1%","55.7%","44.3%","22.7%"
"Davante Adams","2018","220","79.5%","114","86.8%","24","70.8%","147","79.6%","334","44.0%","65.9%","34.1%","7.2%"
"Davante Adams","2020","132","79.5%","122","82.8%","31","74.2%","69","81.2%","254","27.2%","52.0%","48.0%","12.2%"
"Stefon Diggs","2021","155","79.4%","114","86.8%","49","73.5%","98","83.7%","269","36.4%","57.6%","42.4%","18.2%"
"Stefon Diggs","2022","136","79.4%","148","87.8%","50","76.0%","60","83.3%","284","21.1%","47.9%","52.1%","17.6%"
"Allen Robinson","2019","193","79.3%","89","79.8%","39","82.1%","98","83.7%","282","34.8%","68.4%","31.6%","13.8%"
"Antonio Brown","2016","199","79.1%","110","90.6%","44","80.6%","144","83.5%","309","46.6%","64.4%","35.6%","14.2%"
"A.J. Brown","2024","115","79.1%","95","81.1%","26","73.1%","63","82.5%","210","30.0%","54.8%","45.2%","12.4%"
"A.J. Brown","2020","138","79.0%","73","76.7%","22","86.4%","76","81.6%","211","36.0%","65.4%","34.6%","10.4%"
"Justin Jefferson","2022","138","79.0%","194","85.6%","70","62.9%","94","84.0%","332","28.3%","41.6%","58.4%","21.1%"
"A.J. Brown","2022","147","78.9%","94","81.9%","27","77.8%","48","83.3%","241","19.9%","61.0%","39.0%","11.2%"
"Tyler Lockett","2022","90","78.9%","187","83.4%","21","81.0%","18","77.8%","277","6.5%","32.5%","67.5%","7.6%"
"A.J. Brown","2023","123","78.9%","157","81.5%","25","72.0%","34","82.4%","280","12.1%","43.9%","56.1%","8.9%"
"A.J. Brown","2021","99","78.8%","131","77.9%","19","84.2%","52","84.6%","230","22.6%","43.0%","57.0%","8.3%"
