"Year","Player","Open Space Att","Open Space %","Broken Tackle %","1 Broken Tackle %","2+ Broken Tackle %"
"2024","Tee Higgins","16","5.2%","62.5%","56.3%","6.3%"
"2024","Chris Godwin*","29","12.5%","58.6%","51.7%","6.9%"
"2024","Davante Adams","26","10.0%","46.2%","30.8%","15.4%"
"2024","Deebo Samuel","24","9.7%","66.7%","37.5%","29.2%"
"2024","Amari Cooper","10","6.1%","10.0%","10.0%","0.0%"
"2024","DK Metcalf","24","8.5%","45.8%","45.8%","0.0%"
"2024","Marquise Brown*","9","7.9%","11.1%","11.1%","0.0%"
"2024","DeAndre Hopkins","11","5.4%","9.1%","9.1%","0.0%"
"2024","Cooper Kupp","19","8.1%","31.6%","26.3%","5.3%"
"2024","Stefon Diggs","32","12.1%","34.4%","28.1%","6.3%"
"2024","Rome Odunze","13","4.2%","38.5%","38.5%","0.0%"
"2024","Marvin Harrison Jr.","4","1.5%","0.0%","0.0%","0.0%"
"2024","Brian Thomas Jr.","28","11.4%","57.1%","50.0%","7.1%"
"2024","Malik Nabers","31","11.7%","58.1%","48.4%","9.7%"
"2024","Ladd McConkey","29","12.6%","51.7%","34.5%","17.2%"
"2024","Ricky Pearsall","13","5.6%","15.4%","15.4%","0.0%"
"2024","Xavier Worthy","23","9.4%","34.8%","30.4%","4.3%"
"2024","Xavier Legette","9","3.7%","66.7%","33.3%","33.3%"
"2024","Keon Coleman","11","5.4%","36.4%","27.3%","9.1%"
"2024","Adonai Mitchell","6","4.1%","0.0%","0.0%","0.0%"
"2024","Jalen Coker","13","5.3%","23.1%","23.1%","0.0%"
"2024","Ja'Lynn Polk","2","1.2%","50.0%","50.0%","0.0%"
"2024","Jalen McMillan","11","4.7%","9.1%","9.1%","0.0%"
"2024","Puka Nacua","37","15.7%","56.8%","40.5%","16.2%"
"2024","Rashee Rice*","18","20.0%","61.1%","44.4%","16.7%"
"2024","Jaxon Smith-Njigba","32","10.5%","37.5%","31.3%","6.3%"
"2024","Jordan Addison","17","5.9%","35.3%","35.3%","0.0%"
"2024","Jayden Reed","18","8.1%","55.6%","44.4%","11.1%"
"2024","Josh Downs","28","11.7%","32.1%","32.1%","0.0%"
"2024","Cedric Tillman","16","6.7%","50.0%","31.3%","18.8%"
"2024","Zay Flowers","28","12.7%","50.0%","32.1%","17.9%"
"2024","Dontayvion Wicks","11","6.8%","45.5%","36.4%","9.1%"
"2024","Marvin Mims","25","20.3%","56.0%","48.0%","8.0%"
"2024","Quentin Johnston","21","9.1%","66.7%","42.9%","23.8%"
"2024","Jameson Williams","17","7.8%","52.9%","29.4%","23.5%"
"2024","George Pickens","16","6.6%","62.5%","43.8%","18.8%"
"2024","Garrett Wilson","35","11.4%","42.9%","31.4%","11.4%"
"2024","Chris Olave","12","6.4%","41.7%","41.7%","0.0%"
"2024","Khalil Shakir","30","14.2%","53.3%","33.3%","20.0%"
"2024","Drake London","20","7.6%","70.0%","50.0%","20.0%"
"2024","Tyreek Hill","19","7.9%","68.4%","42.1%","26.3%"
"2024","Nico Collins","26","9.2%","53.8%","38.5%","15.4%"
