"Year","Player","Total Routes","Route Target Rate","Route Catch Rate","Targets","Catch Rate","Drop Rate"
"2024","Tory Horton","226","38.5","25.7","87","66.7","5.7"
"2024","Tre Harris","252","36.9","25.4","93","68.8","4.3"
"2024","Tez Johnson*","159","36.5","27.7","58","75.9","3.4"
"2024","Tai Felton","291","34.7","23.7","101","68.3","5.9"
"2024","Tetairoa McMillan","284","33.8","20.1","96","59.4","6.3"
"2024","Jayden Higgins","269","33.8","19.7","91","58.2","0.0"
"2024","Luther Burden","238","33.6","23.9","80","71.3","3.8"
"2024","Travis Hunter","283","29.7","21.6","84","72.6","1.2"
"2024","Andrew Armstrong","257","29.6","21.0","76","71.1","3.9"
"2024","Elic Ayomanor","304","28.9","15.8","88","54.5","6.8"
"2024","Emeka Egbuka","210","27.1","21.9","57","80.7","1.8"
"2024","Jalen Royals*","247","27.1","20.2","67","74.6","6.0"
"2024","Jaylin Noel","302","25.8","15.2","78","59.0","5.1"
"2024","Kyle Williams","297","25.6","18.2","76","71.1","1.3"
"2024","Jack Bech","266","25.6","18.0","68","70.6","0.0"
"2024","Matthew Golden","212","25.0","17.5","53","69.8","7.5"
"2024","Xavier Restrepo","295","24.4","17.3","72","70.8","1.4"
"2024","Isaiah Bond","172","20.9","14.0","36","66.7","0.0"
"2024","Isaac TeSlaa","161","16.1","13.0","26","80.8","0.0"
