"Player","Year","Tot Routes","Target%","Rec Rate","Catch%","Drop%"
"Tee Higgins","2024","306","25.5%","17.3%","67.9%","5.1%"
"Chris Godwin*","2024","232","29.3%","22.8%","77.9%","0.0%"
"Davante Adams","2024","261","31.8%","20.7%","65.1%","4.8%"
"Deebo Samuel","2024","247","20.6%","13.0%","62.7%","9.8%"
"Amari Cooper","2024","164","29.9%","15.9%","53.1%","10.2%"
"DK Metcalf","2024","284","26.1%","14.8%","56.8%","2.7%"
"Marquise Brown*","2024","114","25.4%","13.2%","51.7%","3.4%"
"DeAndre Hopkins","2024","205","23.4%","17.6%","75.0%","2.1%"
"Cooper Kupp","2024","236","29.7%","18.2%","61.4%","2.9%"
"Stefon Diggs","2024","265","25.7%","18.5%","72.1%","2.9%"
"Rome Odunze","2024","309","20.7%","11.7%","56.3%","3.1%"
"Marvin Harrison Jr.","2024","266","26.3%","14.3%","54.3%","4.3%"
"Brian Thomas Jr.","2024","246","28.9%","20.7%","71.8%","1.4%"
"Malik Nabers","2024","264","41.7%","24.2%","58.2%","6.4%"
"Ladd McConkey","2024","231","27.7%","19.5%","70.3%","1.6%"
"Ricky Pearsall","2024","232","20.3%","13.8%","68.1%","2.1%"
"Xavier Worthy","2024","244","24.2%","17.2%","71.2%","5.1%"
"Xavier Legette","2024","243","21.4%","11.5%","53.8%","13.5%"
"Keon Coleman","2024","203","26.6%","11.8%","44.4%","7.4%"
"Adonai Mitchell","2024","146","24.0%","9.6%","40.0%","5.7%"
"Jalen Coker","2024","246","18.7%","13.0%","69.6%","2.2%"
"Ja'Lynn Polk","2024","173","16.2%","4.0%","25.0%","10.7%"
"Jalen McMillan","2024","236","20.3%","12.7%","62.5%","4.2%"
"Puka Nacua","2024","236","39.8%","28.8%","72.3%","4.3%"
"Rashee Rice*","2024","90","37.8%","30.0%","79.4%","2.9%"
"Jaxon Smith-Njigba","2024","306","28.4%","19.9%","70.1%","3.4%"
"Jordan Addison","2024","288","20.5%","12.8%","62.7%","1.7%"
"Jayden Reed","2024","223","21.1%","13.9%","66.0%","12.8%"
"Josh Downs","2024","239","31.8%","21.3%","67.1%","2.6%"
"Cedric Tillman","2024","238","21.8%","12.6%","57.7%","1.9%"
"Zay Flowers","2024","221","28.5%","18.6%","65.1%","6.3%"
"Dontayvion Wicks","2024","161","32.3%","15.5%","48.1%","15.4%"
"Marvin Mims","2024","123","29.3%","22.8%","77.8%","2.8%"
"Quentin Johnston","2024","232","25.4%","13.8%","54.2%","11.9%"
"Jameson Williams","2024","218","21.6%","13.8%","63.8%","6.4%"
"George Pickens","2024","244","28.3%","16.8%","59.4%","7.2%"
"Garrett Wilson","2024","307","30.0%","18.2%","60.9%","1.1%"
"Chris Olave","2024","187","26.7%","20.3%","76.0%","2.0%"
"Khalil Shakir","2024","212","31.6%","21.7%","68.7%","3.0%"
"Drake London","2024","263","33.1%","19.4%","58.6%","5.7%"
"Tyreek Hill","2024","241","27.8%","18.7%","67.2%","1.5%"
"Nico Collins","2024","284","25.4%","17.3%","68.1%","2.8%"
"D.J. Moore","2024","295","26.8%","17.6%","65.8%","3.8%"
"Terry McLaurin","2024","229","21.0%","13.1%","62.5%","4.2%"
"Calvin Ridley","2024","253","24.9%","14.2%","57.1%","7.9%"
"Jauan Jennings","2024","252","27.8%","19.8%","71.4%","2.9%"
"Jerry Jeudy","2024","335","25.4%","15.5%","61.2%","7.1%"
"Courtland Sutton","2024","238","26.9%","16.4%","60.9%","6.3%"
"Jaylen Waddle","2024","228","21.1%","13.6%","64.6%","4.2%"
"DeVonta Smith","2024","245","25.7%","20.8%","81.0%","3.2%"
