PlayerID,Team,TeamID,Number,FirstName,LastName,Name,Position,PositionCategory,Status,Height,Weight,BirthDate,Age,Experience,ExperienceString,College,CollegeDraftTeam,CollegeDraftYear,CollegeDraftRound,CollegeDraftPick,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,PhotoUrl,FantasyPosition,FantasyAlarmID,SportRadarPlayerID,RotoworldPlayerID,RotoWirePlayerID,StatsPlayerID,SportsDirectPlayerID,XmlTeamPlayerID,FanDuelPlayerID,DraftKingsPlayerID,YahooPlayerID,FanDuelName,DraftKingsName,YahooName,DepthOrder,DepthPositionCategory,DepthDisplayOrder,CurrentTeam,CurrentStatus,AverageDraftPosition,created_date,updated_date
549,,,,Matt,Prater,,K,ST,Inactive,"5'10""",201,1984-08-10,,19,,Central Florida,DET,2006,,,,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/549.png,K,,,,,,,,6782,218237,,Matt Prater,Matt Prater,,,,,,,822.000,2025-09-02 23:20:09.559076,2025-09-02 23:20:09.559432
611,CLE,8,15,Joe,Flacco,,QB,OFF,Active,"6'6""",245,1985-01-16,,19,,Delaware,BAL,2008,1,18,,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/611.png,QB,,,,,,,,6714,216342,,Joe Flacco,Joe Flacco,,,,,,,251.000,2025-09-02 23:20:09.559076,2025-09-02 23:20:09.559432
732,,,,Matt,Ryan,,QB,OFF,Inactive,"6'4""",220,1985-05-17,,16,,Boston College,ATL,2008,1,3,,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/732.png,QB,,,,,,,,6616,216263,,Matt Ryan,Matt Ryan,,,,,,,,2025-09-02 23:20:09.559076,2025-09-02 23:20:09.559432
1410,,,,Robbie,Gould,,K,ST,Inactive,"6'0""",190,1982-12-06,,19,,Penn State,NE,2005,,,,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/1410.png,K,,,,,,,,6910,167377,,Robbie Gould,Robbie Gould,,,,,,,,2025-09-02 23:20:09.559076,2025-09-02 23:20:09.559432
1694,,,,Mason,Crosby,,K,ST,Inactive,"6'1""",207,1984-09-03,,17,,Colorado,GB,2007,6,193,,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/1694.png,K,,,,,,,,6897,214574,,Mason Crosby,Mason Crosby,,,,,,,,2025-09-02 23:20:09.559076,2025-09-02 23:20:09.559432
2405,,,,Chad,Henne,,QB,OFF,Inactive,"6'3""",230,1985-07-02,,15,,Michigan,MIA,2008,2,57,,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/2405.png,QB,,,,,,,,7844,264851,,Chad Henne,Chad Henne,,,,,,,,2025-09-02 23:20:09.559076,2025-09-02 23:20:09.559432
2593,PIT,28,8,Aaron,Rodgers,,QB,OFF,Active,"6'2""",223,1983-12-02,,21,,California,GB,2005,1,24,,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/2593.png,QB,,,,,,,,6894,213957,,Aaron Rodgers,Aaron Rodgers,,,,,,,183.000,2025-09-02 23:20:09.559076,2025-09-02 23:20:09.559432
3061,,,,Marcedes,Lewis,,TE,OFF,Inactive,"6'6""",267,1984-05-19,,19,,UCLA,JAX,2006,1,28,,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3061.png,TE,,,,,,,,6672,214197,,Marcedes Lewis,Marcedes Lewis,,,,,,,982.000,2025-09-02 23:20:09.559076,2025-09-02 23:20:09.559432
3100,,,,Andy,Lee,,P,ST,Inactive,"6'1""",185,1982-08-11,,20,,Pittsburgh,SF,2004,6,188,,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3100.png,P,,,,,,,,,246395,,,Andy Lee,,,,,,,,2025-09-02 23:20:09.559076,2025-09-02 23:20:09.559432
3341,ARI,1,93,Calais,Campbell,,DT,DEF,Active,"6'8""",315,1986-09-01,,18,,Miami (FL),ARI,2008,2,50,,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3341.png,DL,,,,,,,,,266767,,,Calais Campbell,,,,,,,,2025-09-02 23:20:09.559076,2025-09-02 23:20:09.559432
3617,,,,Duane,Brown,,OT,OFF,Inactive,"6'4""",329,1985-08-30,,17,,Virginia Tech,HOU,2008,1,26,,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3617.png,OL,,,,,,,,,,,,,,,,,,,,2025-09-02 23:20:09.559076,2025-09-02 23:20:09.559432
3923,,,,Muhsin,Muhammad II,,WR,OFF,Inactive,"6'2""",215,1973-05-05,,,,Michigan State,CAR,,,,,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,WR,,,,,,,,,,,,,,,,,,,,2025-09-02 23:20:09.559076,2025-09-02 23:20:09.559432
3943,,,,DeSean,Jackson,,WR,OFF,Inactive,"5'10""",175,1986-12-01,,15,,California,PHI,2008,2,49,,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3943.png,WR,,,,,,,,6739,300173,,DeSean Jackson,DeSean Jackson,,,,,,,,2025-09-02 23:20:09.559076,2025-09-02 23:20:09.559432
4314,,,,Tom,Brady,,QB,OFF,Inactive,"6'4""",225,1977-08-03,,23,,Michigan,NE,2000,6,199,,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4314.png,QB,,,,,,,,6498,25347,,Tom Brady,Tom Brady,,,,,,,,2025-09-02 23:20:09.559076,2025-09-02 23:20:09.559432
6489,WAS,35,14,Josh,Johnson,,QB,OFF,Active,"6'3""",214,1986-05-15,,11,,San Diego,TB,2008,5,160,,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/6489.png,QB,,,,,,,,8023,273278,,Josh Johnson,Josh Johnson,,,,,,,808.000,2025-09-02 23:20:09.559076,2025-09-02 23:20:09.559432
7651,,,,Matthew,Slater,,WR,OFF,Inactive,"6'0""",205,1985-09-09,,17,,UCLA,NE,2008,5,153,,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7651.png,WR,,,,,,,,7856,234403,,Matthew Slater,Matthew Slater,,,,,,,,2025-09-02 23:20:09.559076,2025-09-02 23:20:09.559432
8358,,,,Brian,Hoyer,,QB,OFF,Inactive,"6'2""",215,1985-10-13,,15,,Michigan State,NE,2009,,,,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/8358.png,QB,,,,,,,,7872,264725,,Brian Hoyer,Brian Hoyer,,,,,,,,2025-09-02 23:20:09.559076,2025-09-02 23:20:09.559432
8433,,,,Kevin,Huber,,P,ST,Inactive,"6'1""",210,1985-07-16,,14,,Cincinnati,CIN,2009,5,142,,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/8433.png,P,,,,,,,,,,,,,,,,,,,,2025-09-02 23:20:09.559076,2025-09-02 23:20:09.559432
