gm,player,position,year,dead_cap_amount
Andy Shepard,Daniel Jones,QB,2025,2.0
Andy Shepard,Cordarrelle Patterson,RB,2025,3.0
Andy Shepard,Kimani Vidal,RB,2025,1.0
Andy Shepard,Dylan Laube,RB,2025,1.0
Andy Shepard,Darnell Mooney,WR,2025,1.0
Andy Shepard,Gabriel Davis,WR,2025,1.0
Andy Shepard,Albert Okwuegbunam,TE,2025,1.0
Andy Shepard,Luke Schoonmaker,TE,2025,1.0
Andy Shepard,Zaven Collins,DL,2025,1.0
Andy Shepard,Richie Grant,DB,2025,1.0
Chip Buckley,Russell Wilson,QB,2025,3.0
Chip Buckley,Roschon Johnson,RB,2025,1.0
Chip Buckley,Amari Cooper,WR,2025,10.0
Chip Buckley,Tyler Lockett,WR,2025,4.0
Chip Buckley,Donovan Peoples-Jones,WR,2025,1.0
Chip Buckley,Cade Otton,TE,2025,1.0
Chip Buckley,Zach Ertz,TE,2025,1.0
Chip Buckley,Chop Robinson,DL,2025,1.0
Chip Buckley,Will McDonald,DL,2025,1.0
Eric Cookmeyer,Bryce Young,QB,2025,1.0
Eric Cookmeyer,Cam Newton,QB,2025,6.0
Eric Cookmeyer,Jameis Winston,QB,2025,1.0
Eric Cookmeyer,Bryce Young (x2),QB,2025,1.0
Eric Cookmeyer,Gus Edwards,RB,2025,3.0
Eric Cookmeyer,Emanuel Wilson,RB,2025,1.0
Eric Cookmeyer,D.J. Giddens,RB,2025,1.0
Eric Cookmeyer,Tank Bigsby,RB,2025,1.0
Eric Cookmeyer,Cooper Kupp,WR,2025,3.0
Eric Cookmeyer,Adonai Mitchell,WR,2025,1.0
Eric Cookmeyer,Keenan Allen,WR,2025,14.0
Eric Cookmeyer,Tyler Lockett,WR,2025,6.0
Eric Cookmeyer,Juwan Johnson,TE,2025,1.0
Eric Cookmeyer,Daron Payne,DL,2025,1.0
Eric Cookmeyer,Lukas Van Ness,DL,2025,1.0
Eric Cookmeyer,Eric Kendricks,LB,2025,3.0
Eric Cookmeyer,Quinyon Mitchell,DB,2025,1.0
Eric Cookmeyer,Adrian Amos,DB,2025,1.0
Eric Cookmeyer,Malcolm Jenkins,DB,2025,1.0
Gordon Peterson,Kenny Pickett,QB,2025,4.0
Gordon Peterson,Darren Waller,TE,2025,23.0
Gordon Peterson,Robert Quinn,DL,2025,1.0
Gordon Peterson,Calijah Kancey,DL,2025,1.0
Gordon Peterson,C.J. Mosley,LB,2025,2.0
Gordon Peterson,L'Jarius Sneed,DB,2025,1.0
Gordon Peterson,San Francisco 49ers,D/ST,2025,2.0
JP Hummer,Deshaun Watson,QB,2025,1.0
JP Hummer,Derek Carr,QB,2025,1.0
JP Hummer,Zack Moss,RB,2025,7.0
JP Hummer,Devin Singletary,RB,2025,5.0
JP Hummer,Najee Harris,RB,2025,1.0
JP Hummer,D'Andre Swift,RB,2025,14.0
JP Hummer,J.K. Dobbins,RB,2025,7.0
JP Hummer,Samaje Perine,RB,2025,1.0
JP Hummer,Ty'Shon Williams,RB,2025,1.0
JP Hummer,Diontae Johnson,WR,2025,3.0
JP Hummer,Curtis Samuel,WR,2025,1.0
JP Hummer,Jerry Jeudy,WR,2025,10.0
JP Hummer,Josh Palmer,WR,2025,1.0
JP Hummer,Allen Robinson,WR,2025,6.0
JP Hummer,Cedric Tillman,WR,2025,1.0
JP Hummer,Marquez Callaway,WR,2025,1.0
JP Hummer,Kenny Golladay,WR,2025,1.0
JP Hummer,Hunter Henry,TE,2025,2.0
JP Hummer,Jaelan Phillips,DL,2025,1.0
James Vecchio,Antonio Gibson,RB,2025,2.0
James Vecchio,Ezekiel Elliott,RB,2025,6.0
James Vecchio,Ronald Jones,RB,2025,4.0
James Vecchio,Rashaad Penny,RB,2025,1.0
James Vecchio,Clyde Edwards-Helaire,RB,2025,1.0
James Vecchio,JuJu Smith-Schuster,WR,2025,1.0
James Vecchio,JuJu Smith-Schuster (x2),WR,2025,3.0
James Vecchio,Elijah Moore,WR,2025,1.0
James Vecchio,Rashod Bateman,WR,2025,1.0
James Vecchio,Nick Bosa,DL,2025,9.0
James Vecchio,Gregory Rousseau,DL,2025,1.0
James Vecchio,Harold Landry,DL,2025,1.0
James Vecchio,Cole Holcomb,LB,2025,1.0
James Vecchio,Jamin Davis,LB,2025,1.0
James Vecchio,Logan Wilson,LB,2025,1.0
James Vecchio,Isaiah Simmons,DB,2025,1.0
James Vecchio,Jeremy Chinn,DB,2025,1.0
James Vecchio,Tyler Nubin,DB,2025,1.0
James Vecchio,Jamal Adams,DB,2025,4.0
James Vecchio,Budda Baker,DB,2025,1.0
Jason Shaffer,Keaton Mitchell,RB,2025,1.0
Jason Shaffer,Sean Tucker,RB,2025,1.0
Jason Shaffer,Michael Gallup,WR,2025,2.0
Jason Shaffer,Luke McCaffrey,WR,2025,1.0
Jason Shaffer,Ja'Lynn Polk,WR,2025,1.0
Jason Shaffer,Julio Jones,WR,2025,3.0
Jason Shaffer,Allen Robinson,WR,2025,3.0
Jason Shaffer,Curtis Samuel,WR,2025,1.0
Jason Shaffer,Marvin Mims,WR,2025,1.0
Jason Shaffer,A.J. Epenesa,DL,2025,1.0
Jason Shaffer,Tuli Tuipoluti,DL,2025,1.0
Jason Shaffer,Boye Mafe,DL,2025,1.0
Jason Shaffer,Rashad Weaver,DL,2025,1.0
Jason Shaffer,Baron Browning,DL,2025,1.0
Jason Shaffer,Bradley Chubb,DL,2025,1.0
Jason Shaffer,Quay Walker,LB,2025,1.0
Jason Shaffer,Micah Kiser,LB,2025,1.0
Jason Shaffer,Kamren Curl,DB,2025,1.0
Jason Shaffer,Budda Baker,DB,2025,1.0
Jason Shaffer,Talanoa Hufanga,DB,2025,1.0
Jason Shaffer,Dallas Cowboys,D/ST,2025,1.0
Joe Stanek,Sam Darnold,QB,2025,5.0
Joe Stanek,Cam Akers,RB,2025,8.0
Joe Stanek,Zach Evans,RB,2025,1.0
