gm,player,position,y2025,y2026,y2027,y2028,y2029,total
Andy Shepard,Daniel Jones,QB,$2,$1,$1,"","",$4
Andy Shepard,Cordarrelle Patterson,RB,$3,$3,"","","",$6
Andy Shepard,Kimani Vidal,RB,$1,$1,"","","",$2
Andy Shepard,Dylan Laube,RB,$1,$1,"","","",$2
Andy Shepard,Darnell Mooney,WR,$1,"","","","",$1
Andy Shepard,Gabriel Davis,WR,$1,"","","","",$1
Andy Shepard,Albert Okwuegbunam,TE,$1,$1,"","","",$2
Andy Shepard,Luke Schoonmaker,TE,$1,"","","","",$1
Andy Shepard,Zaven Collins,DL,$1,$1,"","","",$2
Andy Shepard,Richie Grant,DB,$1,"","","","",$1
Chip Buckley,Russell Wilson,QB,$3,"","","","",$3
Chip Buckley,Amari Cooper,WR,$10,$10,$5,"","",$25
Chip Buckley,Tyler Lockett,WR,$4,$2,"","","",$6
Chip Buckley,Donovan Peoples-Jones,WR,$1,$1,"","","",$2
Chip Buckley,Cade Otton,TE,$1,$1,"","","",$2
Chip Buckley,Chop Robinson,DL,$1,$1,"","","",$2
Chip Buckley,Will McDonald,DL,$1,"","","","",$1
Eric Cookmeyer,Cam Newton,QB,$6,$6,"","","",$12
Eric Cookmeyer,Jameis Winston,QB,$1,"","","","",$1
Eric Cookmeyer,Bryce Young,QB,$1,"","","","",$1
Eric Cookmeyer,Emanuel Wilson,RB,$1,$1,$1,$1,"",$4
Eric Cookmeyer,D.J. Giddens,RB,$1,$1,$1,"","",$3
Eric Cookmeyer,Tank Bigsby,RB,$1,"","","","",$1
Eric Cookmeyer,Gus Edwards,WR,$3,$3,$2,$2,"",$10
Eric Cookmeyer,Keenan Allen,WR,$14,"","","","",$14
Eric Cookmeyer,Tyler Lockett,WR,$6,"","","","",$6
Eric Cookmeyer,Daron Payne,DL,$1,$1,$1,"","",$3
Eric Cookmeyer,Lukas Van Ness,DL,$1,"","","","",$1
Eric Cookmeyer,Eric Kendricks,LB,$3,"","","","",$3
Eric Cookmeyer,Quinyon Mitchell,DB,$1,$1,"","","",$2
Eric Cookmeyer,Adrian Amos,DB,$1,"","","","",$1
Eric Cookmeyer,Malcolm Jenkins,DB,$1,"","","","",$1
