player_id,mfl_id,gsis_id,sleeper_id,espn_id,yahoo_id,pfr_id,fantasypros_id,pff_id,cbs_id,ktc_id,sportradar_id,fleaflicker_id,rotowire_id,rotoworld_id,stats_id,stats_global_id,fantasy_data_id,swish_id,cfbref_id,nfl_id,name,merge_name,name_last_first,position,team,birthdate,draft_year,xref_correction_status
1,17030,00-0040676,12522,4688380,,WardCa00,24755,133244,3168422,1730,3c76cab3-3df2-43dd-acaa-57e055bd32d0,,16997,,41786,0,,,,58203,Cam Ward,cam ward,"Ward, Cam",QB,TEN,2002-05-25,2025,original
2,17031,00-0040668,12524,4432762,,SandSh00,25968,131396,26710004,1731,270e09bc-8bf8-44b0-87ed-1fd014de4ab7,,18479,,41930,0,,,,58349,Shedeur Sanders,shedeur sanders,"Sanders, Shedeur",QB,CLE,2002-02-07,2025,original
3,17032,00-0040691,12508,4689114,,DartJa00,23160,146409,26694019,1732,53848cba-bcad-4cd0-bb35-0a1f6ed111d1,,18574,,41810,0,,,,58227,Jaxson Dart,jaxson dart,"Dart, Jaxson",QB,NYG,2003-05-13,2025,original
4,17033,00-0040673,12510,4432734,,MilrJa00,22884,146590,26694943,1733,b0eb5b67-4ef2-462d-bfe7-e73bcce1f6b0,,18477,,41882,0,,,,58297,Jalen Milroe,jalen milroe,"Milroe, Jalen",QB,SEA,2002-12-13,2025,original
5,17034,00-0040234,12500,4889929,,EwerQu00,23680,127253,26746721,1734,d89f0384-21a6-44e4-8aa6-324cb2103bf6,,18505,,42037,0,,,,58436,Quinn Ewers,quinn ewers,"Ewers, Quinn",QB,MIA,2003-05-13,2025,original
6,17035,00-0040206,12470,4683423,,LeonRi02,25373,143862,26699092,1735,38b62d7f-4403-4e2b-8083-4d0cd08e81aa,,18513,,41968,0,,,,58394,Riley Leonard,riley leonard,"Leonard, Riley",QB,IND,2002-09-13,2025,original
7,17036,00-0040203,12511,4429955,,HowaWi01,25972,122599,3162310,1736,b8a1b579-3a7e-4858-960b-fbfaca8de613,,18512,,41989,0,,,,58390,Will Howard,will howard,"Howard, Will",QB,PIT,2001-09-24,2025,original
8,17037,00-0040704,12486,4427238,,GabrDi00,23150,86272,3121534,1737,299d4fe8-188c-43d1-95d3-8a8f103da5c5,,18496,,41861,0,,,,58299,Dillon Gabriel,dillon gabriel,"Gabriel, Dillon",QB,CLE,2000-12-28,2025,original
9,17038,00-0040014,12494,4433971,,McCoKy00,23066,145053,26702687,1738,451c7689-4fc2-410a-a33f-22dfa2ab37d4,,18498,,41971,0,,,,58386,Kyle McCord,kyle mccord,"McCord, Kyle",QB,PHI,2002-09-19,2025,original
10,17039,00-0040743,12545,4360689,,ShouTy00,23096,83537,2964064,1739,94b8f9e1-3109-4429-8f71-4f79d7588237,,17037,,41825,0,,,,58245,Tyler Shough,tyler shough,"Shough, Tyler",QB,NOS,1999-09-28,2025,original
11,17040,00-0040398,12538,4429435,,CookBr03,27161,124199,3163207,,4916c770-2501-11f0-aed8-c154e65d4269,,18482,,42229,0,,,,58839,Brady Cook,brady cook,"Cook, Brady",QB,NYJ,2001-10-12,2025,original
12,17041,00-0040589,12477,4430431,,RourKu01,27129,97998,3122216,,1b412617-dee5-4c07-bdfc-e26eeff7fe80,,18565,,42009,0,,,,58432,Kurtis Rourke,kurtis rourke,"Rourke, Kurtis",QB,SFO,2000-10-25,2025,original
13,17042,00-0040122,12527,4890973,,JeanAs00,25989,157196,28874008,1742,320fc4b7-76c7-43af-bbfd-1a22ba8f78cb,,18487,,41791,0,,,,58208,Ashton Jeanty,ashton jeanty,"Jeanty, Ashton",RB,LVR,2003-12-02,2025,original
14,17043,00-0040734,12529,4432710,,HendTr02,23065,145059,26699547,1743,0d9788e6-03ee-416d-8ba2-deb57037d209,,18517,,41823,0,,,,58243,TreVeyon Henderson,treveyon henderson,"Henderson, TreVeyon",RB,NEP,2002-10-22,2025,original
15,17044,00-0040666,12507,4685382,,HampOm00,25395,162750,28908905,1744,3e1b7908-79ee-4a23-97b9-5190725a2e5e,,18445,,41807,0,,,,58224,Omarion Hampton,omarion hampton,"Hampton, Omarion",RB,LAC,2003-03-16,2025,original
16,17045,00-0040715,12481,4696981,,SkatCa00,27166,147787,26697012,1745,e1f0c72d-f4d0-4c24-93a4-8a12b9a2efd2,,18514,,41922,0,,,,58310,Cam Skattebo,cam skattebo,"Skattebo, Cam",RB,NYG,2002-02-05,2025,original
17,17046,00-0040202,12476,4682652,,NealDe00,23682,144558,26703005,1746,4ef874c1-50c3-4120-9199-0d5a4ae7c6dd,,18521,,41972,0,,,,58389,Devin Neal,devin neal,"Neal, Devin",RB,NOS,2003-08-12,2025,original
18,17047,00-0040162,12469,5081397,,SampDy00,27102,163772,28912068,1747,6ea71d26-623a-4178-a93a-215678244902,,18467,,41907,0,,,,58331,Dylan Sampson,dylan sampson,"Sampson, Dylan",RB,CLE,2004-09-14,2025,original
19,17048,00-0040142,12504,4819231,,JohnKa03,27165,156419,28875572,1748,9738de9a-7626-460f-a786-28433ef70a1f,,18515,,41881,0,,,,58288,Kaleb Johnson,kaleb johnson,"Johnson, Kaleb",RB,PIT,2003-08-14,2025,original
