transaction_id,season,faad_award_sequence
570,2019,1
571,2019,2
572,2019,3
573,2019,4
574,2019,5
575,2019,6
576,2019,7
577,2019,8
578,2019,9
579,2019,10
580,2019,11
581,2019,12
582,2019,13
583,2019,14
584,2019,15
585,2019,16
586,2019,17
587,2019,18
588,2019,19
589,2019,20
590,2019,21
591,2019,22
592,2019,23
593,2019,24
594,2019,25
595,2019,26
596,2019,27
597,2019,28
598,2019,29
599,2019,30
600,2019,31
601,2019,32
602,2019,33
603,2019,34
604,2019,35
605,2019,36
606,2019,37
608,2019,38
609,2019,39
610,2019,40
611,2019,41
612,2019,42
613,2019,43
614,2019,44
615,2019,45
616,2019,46
618,2019,47
619,2019,48
620,2019,49
621,2019,50
622,2019,51
623,2019,52
624,2019,53
625,2019,54
626,2019,55
627,2019,56
628,2019,57
632,2019,58
633,2019,59
634,2019,60
635,2019,61
636,2019,62
637,2019,63
638,2019,64
641,2019,65
643,2019,66
644,2019,67
646,2019,68
647,2019,69
648,2019,70
649,2019,71
652,2019,72
1101,2020,1
1102,2020,2
1103,2020,3
1104,2020,4
1105,2020,5
1106,2020,6
1107,2020,7
1108,2020,8
1109,2020,9
1110,2020,10
1111,2020,11
1112,2020,12
1113,2020,13
1114,2020,14
1115,2020,15
1116,2020,16
1117,2020,17
1118,2020,18
1119,2020,19
1120,2020,20
1121,2020,21
1122,2020,22
1123,2020,23
1124,2020,24
1125,2020,25
1126,2020,26
1127,2020,27
1128,2020,28
1129,2020,29
1130,2020,30
1131,2020,31
1132,2020,32
1133,2020,33
1134,2020,34
1135,2020,35
1136,2020,36
1137,2020,37
1138,2020,38
1139,2020,39
1140,2020,40
1141,2020,41
1142,2020,42
1144,2020,43
1145,2020,44
1146,2020,45
1147,2020,46
1148,2020,47
1149,2020,48
1150,2020,49
1151,2020,50
1152,2020,51
1153,2020,52
1154,2020,53
1155,2020,54
1156,2020,55
1157,2020,56
1158,2020,57
1159,2020,58
1160,2020,59
1161,2020,60
1163,2020,61
1164,2020,62
1165,2020,63
1166,2020,64
1167,2020,65
1168,2020,66
1169,2020,67
1170,2020,68
1171,2020,69
1172,2020,70
1173,2020,71
