id	Source	R2	RMSE	MASE	ME	MAE	MSE	MPE	MAPE	sMAPE	RMSLE	Predictive R2
1	FantasyPros	0.68	50.08	0.53	7.16	35.91	2,507.64	-140.46	168.50	30.53	0.96	0.68
2	FFA Average	0.68	49.18	0.54	8.13	35.04	2,418.44	-140.26	167.72	30.85	0.99	0.68
3	FFA Weighted	0.67	50.10	0.56	8.27	35.98	2,510.02	-135.76	163.73	29.98	0.98	0.66
4	NumberFire	0.65	54.89	0.58	7.24	39.05	3,013.07	-72.13	112.19	30.38	0.91	0.64
5	CBS	0.63	56.92	0.62	17.41	42.48	3,239.96	-141.60	162.55	28.18	0.93	0.62
6	FantasySharks	0.61	55.22	0.61	9.31	39.87	3,048.73	-116.48	148.72	30.46	0.99	0.61
7	ESPN	0.61	53.78	0.61	6.52	40.58	2,892.09	-104.25	128.27	24.72	0.78	0.61
8	FFToday	0.60	55.73	0.62	6.10	41.83	3,105.69	-109.86	134.61	25.05	0.83	0.59
9	NFL	0.59	56.84	0.63	11.55	42.73	3,231.09	-162.63	182.90	25.55	0.87	0.59
10	RTSports	0.56	63.16	0.71	23.16	46.99	3,989.24	-143.77	163.22	28.51	0.94	0.56
11	WalterFootball	0.49	70.70	0.81	29.40	55.40	4,999.08	-111.19	124.92	24.54	0.80	0.48
