"field","data_type","description"
"season","numeric","Official NFL season"
"week","numeric","Game week number"
"team","character","Abbreviation of team"
"season_type","character","`REG` for regular season, `POST` for postseason"
"opponent_team","character","Abbreviation of opponent team"
"completions","numeric","The number of completed passes."
"attempts","numeric","The number of pass attempts as defined by the NFL."
"passing_yards","numeric","Yards gained on pass plays."
"passing_tds","numeric","The number of passing touchdowns."
"passing_interceptions","numeric","Number of passing interceptions"
"sacks_suffered","numeric","Number of sacks taken as a QB"
"sack_yards_lost","numeric","Yards lost from sacks suffered by this team"
"sack_fumbles","numeric","The number of sacks suffered with a fumble."
"sack_fumbles_lost","numeric","The number of sacks suffered with a lost fumble."
"passing_air_yards","numeric","Passing air yards (includes incomplete passes)."
"passing_yards_after_catch","numeric","Yards after the catch gained on plays in which player was the passer (this is an unofficial stat and may differ slightly between different sources)."
"passing_first_downs","numeric","First downs on pass attempts."
"passing_epa","numeric","Total expected points added on pass attempts and sacks. NOTE: this uses the variable `qb_epa`, which gives QB credit for EPA for up to the point where a receiver lost a fumble after a completed catch and makes EPA work more like passing yards on plays with fumbles."
"passing_cpoe","numeric","Completion percentage over expected for this team."
"passing_2pt_conversions","numeric","Two-point conversion passes."
"carries","numeric","The number of official rush attempts (incl. scrambles and kneel downs). Rushes after a lateral reception don't count as carry."
"rushing_yards","numeric","Yards gained when rushing with the ball (incl. scrambles and kneel downs). Also includes yards gained after obtaining a lateral on a play that started with a rushing attempt."
"rushing_tds","numeric","The number of rushing touchdowns (incl. scrambles). Also includes touchdowns after obtaining a lateral on a play that started with a rushing attempt."
"rushing_fumbles","numeric","The number of rushes with a fumble."
"rushing_fumbles_lost","numeric","The number of rushes with a lost fumble."
"rushing_first_downs","numeric","First downs on rush attempts (incl. scrambles)."
"rushing_epa","numeric","Expected points added on rush attempts (incl. scrambles and kneel downs)."
"rushing_2pt_conversions","numeric","Two-point conversion rushes"
"receptions","numeric","The number of pass receptions. Lateral receptions officially don't count as reception."
"targets","numeric","The number of pass plays where the player was the targeted receiver."
"receiving_yards","numeric","Yards gained after a pass reception. Includes yards gained after receiving a lateral on a play that started as a pass play."
"receiving_tds","numeric","The number of touchdowns following a pass reception. Also includes touchdowns after receiving a lateral on a play that started as a pass play."
"receiving_fumbles","numeric","The number of fumbles after a pass reception."
"receiving_fumbles_lost","numeric","The number of fumbles lost after a pass reception."
"receiving_air_yards","numeric","Receiving air yards (incl. incomplete passes)."
"receiving_yards_after_catch","numeric","Yards after the catch gained on plays in which player was receiver (this is an unofficial stat and may differ slightly between different sources)."
"receiving_first_downs","numeric","Total number of first downs gained on receptions"
"receiving_epa","numeric","Total EPA on plays where this receiver was targeted"
"receiving_2pt_conversions","numeric","Two-point conversion receptions"
"special_teams_tds","numeric","Total number of kick/punt return touchdowns"
"def_tackles_solo","numeric","Total number of solo tackles for this team"
"def_tackles_with_assist","numeric","Number of tackles this team had with an assisted tackle"
"def_tackle_assists","numeric","Number of assisted tackles for this team"
"def_tackles_for_loss","numeric","Number of tackles for loss (TFL) for this team"
"def_tackles_for_loss_yards","numeric","Yards lost from TFLs involving this team"
"def_fumbles_forced","numeric","Number of times a fumble was forced by this team"
"def_sacks","numeric","Number of sacks by this team"
"def_sack_yards","numeric","Yards lost from sacks forced by this team"
