TableID,TableName,Name,DataType,Size,Nullable,Description,IsInCSV,Scrambled
1001000,Timeframe,SeasonType,integer,32,False,The season type of the timeframe (1=Regular Season; 2=Preseason; 3=Postseason; 4=Offseason; 5=All-Star),False,False
1001000,Timeframe,Season,integer,32,False,The league year of the timeframe (this gets incremented on the first day of the league year during free agency),False,False
1001000,Timeframe,Week,integer,32,True,The week of the timeframe (regular season: 1 to 18; preseason: 0 to 4; postseason: 1 to4; offseason=NULL). Note: seasons after 2021 will have only 3 preseason weeks,False,False
1001000,Timeframe,Name,string,50,False,The friendly name of the Timeframe,False,False
1001000,Timeframe,ShortName,string,50,False,The shorter name of the Timeframe,False,False
1001000,Timeframe,StartDate,datetime,,False,The start date/time of this Timeframe,False,False
1001000,Timeframe,EndDate,datetime,,False,The end date and time of the timeframe,False,False
1001000,Timeframe,FirstGameStart,datetime,,True,The start date/time of the first game of the Timeframe (if no games then returns the StartDate),False,False
1001000,Timeframe,FirstGameEnd,datetime,,True,The end date/time of the first game of the Timeframe (if no games then returns the EndDate),False,False
1001000,Timeframe,LastGameEnd,datetime,,True,The end date/time of the last game of the Timeframe (if no games then returns the EndDate),False,False
1001000,Timeframe,HasGames,boolean,,False,Whether there are any games in this Timeframe,False,False
1001000,Timeframe,HasStarted,boolean,,False,Whether this Timeframe has started,False,False
1001000,Timeframe,HasEnded,boolean,,False,Whether this Timeframe has ended,False,False
1001000,Timeframe,HasFirstGameStarted,boolean,,False,Whether the first game has started,False,False
1001000,Timeframe,HasFirstGameEnded,boolean,,False,Whether the first game has ended,False,False
1001000,Timeframe,HasLastGameEnded,boolean,,False,Whether the last game has ended,False,False
1001000,Timeframe,ApiSeason,string,10,True,The value of the Season parameter used to pass into the API,False,False
1001000,Timeframe,ApiWeek,string,10,True,The value of the Week parameter used to pass into the API,False,False
1002000,Team,Key,string,50,False,Abbreviation [Key] of the team (e.g. PHI; NE; IND; etc.),False,False
1002000,Team,TeamID,integer,32,False,The unique ID of the team,False,False
1002000,Team,PlayerID,integer,32,False,The auto-generated unique ID of the Team; that avoids collisions with PlayerIDs. This is useful when combining players and fantasy defenses to create fantasy teams,False,False
1002000,Team,City,string,50,False,The city/location of the team (e.g. Minnesota; Philadelphia; New England; Indianapolis; etc.),False,False
1002000,Team,Name,string,50,False,The mascot of the team (e.g. Eagles; Patriots; Colts; etc.),False,False
1002000,Team,Conference,string,50,True,The conference of the team (e.g. AFC or NFC),True,False
1002000,Team,Division,string,50,True,The division of the team (e.g. East; North; South; West),True,False
1002000,Team,FullName,string,50,True,The full name of the team (e.g. New England Patriots),True,False
1002000,Team,StadiumID,integer,32,True,The unique ID of the team's current home stadium,True,False
1002000,Team,ByeWeek,integer,32,True,The bye week of the team in the upcoming or current regular season,False,False
1002000,Team,AverageDraftPosition,decimal,32,True,The average draft position of the team's fantasy defense (DST) in re-draft leagues,False,True
1002000,Team,AverageDraftPositionPPR,decimal,32,True,The average draft position of the team (DST) in Points Per Reception (PPR) leagues,False,True
1002000,Team,HeadCoach,string,50,True,The current head coach of the team,True,False
1002000,Team,OffensiveCoordinator,string,50,True,The current offensive coordinator of the team. Note: field will be NULL if team doesn't have an OFF coordinator,False,False
1002000,Team,DefensiveCoordinator,string,50,True,The current offensive coordinator of the team. Note: field will be NULL if team doesn't have an DEF coordinator,False,False
1002000,Team,SpecialTeamsCoach,string,50,True,The current special teams coordinator of the team. Note: field will be NULL if team doesn't have an ST coordinator,False,False
1002000,Team,OffensiveScheme,string,10,True,The offensive scheme this team runs (PRO; 2TE; 3WR).  This is decided at our discretion.,True,False
1002000,Team,DefensiveScheme,string,10,True,The current defensive scheme this team runs (3-4; 4-3),True,False
1002000,Team,UpcomingSalary,integer,32,True,The team's DEF/ST salary for the upcoming week in accordance with a $50;000 salary cap. This is used for daily fantasy sports salary cap contests. Salaries represent those published by DraftKings. When DraftKings doesn't publish a salary for a given game; the most recent DraftKings salary is used,False,True
1002000,Team,UpcomingOpponent,string,10,True,The opponent team the team is playing against in the upcoming week,False,True
1002000,Team,UpcomingOpponentRank,integer,32,True,The team's upcoming opponent's rank in DEF/ST fantasy points allowed.,True,True
1002000,Team,UpcomingOpponentPositionRank,integer,32,True,The team's upcoming opponent's rank in DEF/ST fantasy points allowed.,True,True
1002000,Team,UpcomingFanDuelSalary,integer,32,True,The team's DEF/ST DraftKings salary for the upcoming week. Note: We recommend using our new DFS endpoints instead.,False,True
1002000,Team,UpcomingDraftKingsSalary,integer,32,True,The team's DEF/ST DraftKings salary for the upcoming week. Note: We recommend using our new DFS endpoints instead,False,True
1002000,Team,UpcomingYahooSalary,integer,32,True,The team's DEF/ST Yahoo salary for the upcoming week,False,True
1002000,Team,PrimaryColor,string,6,True,The team's primary color. (This is not licensed for public or commercial use),True,False
1002000,Team,SecondaryColor,string,6,True,The team's secondary color. (This is not licensed for public or commercial use),True,False
1002000,Team,TertiaryColor,string,6,True,The team's tertiary color. (This is not licensed for public or commercial use),True,False
1002000,Team,QuaternaryColor,string,6,True,The team's quaternary color. (This is not licensed for public or commercial use),True,False
1002000,Team,WikipediaLogoUrl,string,250,True,The link to the team's logo hosted on Wikipedia (This is not licensed for public or commercial use),False,False
1002000,Team,WikipediaWordMarkUrl,string,250,True,The link to the team's wordmark logo hosted on Wikipedia (This is not licensed for public or commercial use),False,False
1002000,Team,GlobalTeamID,integer,32,True,A globally unique ID for this team. This value is guaranteed to be unique across all sports/leagues,False,False
1002000,Team,DraftKingsName,string,50,True,Team's D/ST name on DraftKings daily fantasy contests,False,False
1002000,Team,DraftKingsPlayerID,integer,32,True,Team's D/ST player ID on DraftKings daily fantasy contests,False,False
1002000,Team,FanDuelName,string,50,True,Team's D/ST name on FanDuel daily fantasy contests,False,False
1002000,Team,FanDuelPlayerID,integer,32,True,Team's DST player ID on FanDuel daily fantasy contests,True,False
1002000,Team,FantasyDraftName,string,50,True,Team's D/ST name on daily FantasyDraft daily fantasy contests,False,False
1002000,Team,FantasyDraftPlayerID,integer,32,True,Team's D/ST player ID on daily FantasyDraft daily fantasy contests,False,False
1002000,Team,YahooName,string,50,True,Team's D/ST name on Yahoo daily fantasy contests,False,False
1002000,Team,YahooPlayerID,integer,32,True,Team's D/ST player ID on Yahoo daily fantasy contests,False,False
1002000,Team,StadiumDetails,Stadium,,True,The details of this team's home stadium,False,False
1002000,Team,AverageDraftPosition2QB,decimal,32,True,The average draft position of the team (DST) in 2 Quarterback leagues,False,True
1002000,Team,AverageDraftPositionDynasty,decimal,32,True,The average draft position of this team (DST) in dynasty leagues,False,True
1089000,TeamBasic,Key,string,50,False,Abbreviation [Key] of the team (e.g. LAC; PHI; NE; IND; etc.),False,False
1089000,TeamBasic,TeamID,integer,32,False,The unique ID of the team,False,False
1089000,TeamBasic,PlayerID,integer,32,False,The auto-generated unique ID of the Team; that avoids collisions with PlayerIDs.  This is useful when combining players and fantasy defenses to create fantasy teams.,False,False
1089000,TeamBasic,City,string,50,False,The city/location of the team (e.g. Minnesota; Philadelphia; New England; Indianapolis; etc.),False,False
1089000,TeamBasic,Name,string,50,False,The mascot of the team (e.g. Chargers; Eagles; Patriots; Colts; etc.),True,False
1089000,TeamBasic,Conference,string,50,True,The conference of the team (e.g. AFC or NFC),False,False
1089000,TeamBasic,Division,string,50,True,The division of the team (e.g. East; North; South; West),True,False
