Updated 09/23/25 at 09:18pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Bijan Robinson,RB1,RB,ATL,9996,23.6,No,RB1,9546,RB2,9929
Ja'Marr Chase,WR1,WR,CIN,9987,25.6,No,WR1,9629,WR1,9443
Malik Nabers,WR2,WR,NYG,9666,22.2,No,WR2,8960,WR2,9412
Jahmyr Gibbs,RB2,RB,DET,9355,23.5,No,RB2,8700,RB1,9999
Justin Jefferson,WR3,WR,MIN,9294,26.3,No,WR3,8639,WR5,8739
Puka Nacua,WR4,WR,LAR,8645,24.3,No,WR4,8118,WR3,9326
CeeDee Lamb,WR5,WR,DAL,8639,26.4,No,WR5,8071,WR4,8947
Brock Bowers,TE1,TE,LVR,8415,22.8,No,TE1,7913,TE1,7816
Amon-Ra St. Brown,WR6,WR,DET,8362,25.9,No,WR6,7747,WR6,8490
Josh Allen,QB1,QB,BUF,8191,29.3,No,QB1,9999,QB1,9778
Jaxon Smith-Njigba,WR7,WR,SEA,7750,23.6,No,WR7,7222,WR7,8273
Lamar Jackson,QB2,QB,BAL,7660,28.7,No,QB2,9988,QB2,8690
Ashton Jeanty,RB3,RB,LVR,7393,21.8,Yes,RB3,6745,RB11,7486
Trey McBride,TE2,TE,ARI,7319,25.8,No,TE2,6706,TE2,7743
Jayden Daniels,QB3,QB,WAS,7224,24.8,No,QB3,9082,QB4,7694
Saquon Barkley,RB4,RB,PHI,7159,28.6,No,RB4,6575,RB3,9061
Emeka Egbuka,WR8,WR,TBB,7139,22.9,Yes,WR8,6671,WR11,7315
Brian Thomas Jr.,WR9,WR,JAC,6990,23.0,No,WR9,6389,WR14,6970
Drake London,WR10,WR,ATL,6978,24.2,No,WR10,6380,WR9,7491
Jonathan Taylor,RB5,RB,IND,6964,26.7,No,RB5,6415,RB5,8005
De'Von Achane,RB6,RB,MIA,6952,23.9,No,RB6,6273,RB8,7840
Bucky Irving,RB7,RB,TBB,6919,23.1,No,RB7,6250,RB7,7845
Nico Collins,WR11,WR,HOU,6914,26.5,No,WR11,6348,WR8,7773
Tetairoa McMillan,WR12,WR,CAR,6850,22.5,Yes,WR13,6322,WR15,6939
Rome Odunze,WR13,WR,CHI,6804,23.3,No,WR12,6338,WR10,7336
Ladd McConkey,WR14,WR,LAC,6650,23.9,No,WR14,6016,WR12,7199
James Cook,RB8,RB,BUF,6616,26.0,No,RB8,6002,RB9,7831
Omarion Hampton,RB9,RB,LAC,6567,22.5,Yes,RB9,5977,RB13,7114
2027 Early 1st,,PI,,6496,,,,5873,,0
Tyler Warren,TE3,TE,IND,6461,23.3,Yes,TE3,5859,TE3,7314
Garrett Wilson,WR15,WR,NYJ,6444,25.2,No,WR15,5838,WR13,7111
2026 Early 1st,,PI,,6343,,,,5809,,-0.01
Jalen Hurts,QB4,QB,PHI,6277,27.1,No,QB4,7868,QB3,7794
Quinshon Judkins,RB10,RB,CLE,6156,21.9,Yes,RB10,5434,RB19,6304
Christian McCaffrey,RB11,RB,SFO,6146,29.3,No,RB11,5366,RB4,8361
Marvin Harrison Jr.,WR16,WR,ARI,6109,23.1,No,WR16,5325,WR25,6228
TreVeyon Henderson,RB12,RB,NEP,6017,22.9,Yes,RB12,5313,RB20,6204
Kyren Williams,RB13,RB,LAR,6008,25.1,No,RB13,5272,RB12,7197
Rashee Rice,WR17,WR,KCC,5990,25.4,No,WR17,5285,WR33,5790
Josh Jacobs,RB14,RB,GBP,5943,27.6,No,RB14,5193,RB10,7558
Zay Flowers,WR18,WR,BAL,5919,25.0,No,WR19,5201,WR17,6800
Breece Hall,RB15,RB,NYJ,5899,24.3,No,RB15,5168,RB17,6671
A.J. Brown,WR19,WR,PHI,5886,28.2,No,WR18,5264,WR16,6895
