player,pos,team,season,week,pass_att,pass_comp,pass_yds,pass_tds,pass_int,rush_att,rush_yds,rush_tds,fumbles_lost,site_pts,source_count,total_weight,provider,asof_date,player_id,position_final,horizon
Aaron Rodgers,QB,PIT,2024,1,33.0,21.0,222.8,1.4,0.6,1.6,5.8,0.0,0.2,14.1,1,0.1305,ffanalytics_consensus,2025-10-25,7836.0,QB,weekly
Andy Dalton,QB,CAR,2024,1,0.8,0.6,5.8,0.1,0.0,0.1,0.5,0.0,0.0,0.5,1,0.1305,ffanalytics_consensus,2025-10-25,10313.0,QB,weekly
Baker Mayfield,QB,TB,2024,1,33.4,23.6,254.2,2.0,0.9,4.1,18.2,0.1,0.2,19.5,1,0.1305,ffanalytics_consensus,2025-10-25,13590.0,QB,weekly
Bo Nix,QB,DEN,2024,1,33.5,22.3,227.8,1.7,0.5,5.5,26.4,0.2,0.1,19.1,1,0.1305,ffanalytics_consensus,2025-10-25,16582.0,QB,weekly
Brandon Allen,QB,TEN,2024,1,0.7,0.5,4.8,0.1,0.0,0.1,0.3,0.0,0.0,0.4,1,0.1305,ffanalytics_consensus,2025-10-25,12621.0,QB,weekly
Bryce Young,QB,CAR,2024,1,31.5,20.2,216.8,1.3,0.7,3.4,18.4,0.2,0.2,15.6,1,0.1305,ffanalytics_consensus,2025-10-25,16148.0,QB,weekly
C.J. Stroud,QB,HOU,2024,1,34.0,21.7,250.1,1.3,0.7,3.2,14.3,0.1,0.2,16.0,1,0.1305,ffanalytics_consensus,2025-10-25,16150.0,QB,weekly
Caleb Williams,QB,CHI,2024,1,31.800000000000004,20.5,217.8,1.3,0.7,5.0,25.9,0.1,0.3,15.8,1,0.1305,ffanalytics_consensus,2025-10-25,16579.0,QB,weekly
Cam Ward,QB,TEN,2024,1,31.000000000000004,19.7,211.9,1.1,0.8,4.1,17.1,0.1,0.2,14.1,1,0.1305,ffanalytics_consensus,2025-10-25,17030.0,QB,weekly
Carson Wentz,QB,MIN,2024,1,0.9,0.6,6.7,0.1,0.1,0.2,0.7,0.0,0.0,0.5,1,0.1305,ffanalytics_consensus,2025-10-25,12610.0,QB,weekly
Cooper Rush,QB,BAL,2024,1,0.7,0.5,6.2,0.1,0.0,0.2,1.0,0.0,0.0,0.6,1,0.1305,ffanalytics_consensus,2025-10-25,13124.0,QB,weekly
Dak Prescott,QB,DAL,2024,1,36.7,23.6,250.99999999999997,1.6,0.9,2.5,10.2,0.1,0.2,16.7,1,0.1305,ffanalytics_consensus,2025-10-25,12620.0,QB,weekly
Daniel Jones,QB,IND,2024,1,30.1,18.7,204.0,1.2,0.7,5.8,27.2,0.2,0.3,15.8,1,0.1305,ffanalytics_consensus,2025-10-25,14059.0,QB,weekly
Davis Mills,QB,HOU,2024,1,0.8,0.5,5.5,0.1,0.0,0.2,0.6,0.0,0.0,0.5,1,0.1305,ffanalytics_consensus,2025-10-25,15252.0,QB,weekly
Dillon Gabriel,QB,CLE,2024,1,0.6,0.4,3.7,0.1,0.0,0.1,0.3,0.0,0.0,0.4,1,0.1305,ffanalytics_consensus,2025-10-25,17037.0,QB,weekly
Drake Maye,QB,NE,2024,1,31.000000000000004,20.6,215.8,1.5,0.8,4.4,30.2,0.2,0.3,17.2,1,0.1305,ffanalytics_consensus,2025-10-25,16580.0,QB,weekly
Drew Lock,QB,SEA,2024,1,0.7,0.5,4.6,0.1,0.1,0.1,0.5,0.0,0.0,0.4,1,0.1305,ffanalytics_consensus,2025-10-25,14057.0,QB,weekly
Gardner Minshew II,QB,KC,2024,1,0.9,0.6,6.3,0.1,0.0,0.2,0.6,0.0,0.0,0.5,1,0.1305,ffanalytics_consensus,2025-10-25,-1.0,QB,weekly
Geno Smith,QB,LV,2024,1,34.0,22.8,247.0,1.3,0.8,3.0,12.7,0.1,0.1,15.8,1,0.1305,ffanalytics_consensus,2025-10-25,11150.0,QB,weekly
Jacoby Brissett,QB,ARI,2024,1,0.8,0.6,6.0,0.1,0.0,0.2,0.8,0.0,0.0,0.5,1,0.1305,ffanalytics_consensus,2025-10-25,12616.0,QB,weekly
