pick_name,draft_year,pick_tier,pick_round,asset_type,rank,value,market_scope,asof_date
2027 Early 1st,2027,Early,1,pick,31,6512,dynasty_1qb,2025-10-25
2026 Early 1st,2026,Early,1,pick,33,6345,dynasty_1qb,2025-10-25
2027 Mid 1st,2027,Mid,1,pick,43,5828,dynasty_1qb,2025-10-25
2026 Mid 1st,2026,Mid,1,pick,45,5747,dynasty_1qb,2025-10-25
2028 Early 1st,2028,Early,1,pick,49,5647,dynasty_1qb,2025-10-25
2027 Late 1st,2027,Late,1,pick,63,5414,dynasty_1qb,2025-10-25
2026 Late 1st,2026,Late,1,pick,66,5391,dynasty_1qb,2025-10-25
2028 Mid 1st,2028,Mid,1,pick,71,5109,dynasty_1qb,2025-10-25
2028 Late 1st,2028,Late,1,pick,82,4795,dynasty_1qb,2025-10-25
2026 Early 2nd,2026,Early,2,pick,102,4283,dynasty_1qb,2025-10-25
2027 Early 2nd,2027,Early,2,pick,105,4241,dynasty_1qb,2025-10-25
2026 Mid 2nd,2026,Mid,2,pick,122,3879,dynasty_1qb,2025-10-25
2027 Mid 2nd,2027,Mid,2,pick,126,3837,dynasty_1qb,2025-10-25
2028 Early 2nd,2028,Early,2,pick,129,3776,dynasty_1qb,2025-10-25
2026 Late 2nd,2026,Late,2,pick,142,3635,dynasty_1qb,2025-10-25
2027 Late 2nd,2027,Late,2,pick,147,3554,dynasty_1qb,2025-10-25
2028 Mid 2nd,2028,Mid,2,pick,149,3508,dynasty_1qb,2025-10-25
2028 Late 2nd,2028,Late,2,pick,172,3246,dynasty_1qb,2025-10-25
2026 Early 3rd,2026,Early,3,pick,196,2839,dynasty_1qb,2025-10-25
2027 Early 3rd,2027,Early,3,pick,214,2651,dynasty_1qb,2025-10-25
2026 Mid 3rd,2026,Mid,3,pick,216,2630,dynasty_1qb,2025-10-25
2027 Mid 3rd,2027,Mid,3,pick,220,2586,dynasty_1qb,2025-10-25
2028 Early 3rd,2028,Early,3,pick,228,2488,dynasty_1qb,2025-10-25
2026 Late 3rd,2026,Late,3,pick,235,2414,dynasty_1qb,2025-10-25
2027 Late 3rd,2027,Late,3,pick,244,2319,dynasty_1qb,2025-10-25
2028 Mid 3rd,2028,Mid,3,pick,257,2142,dynasty_1qb,2025-10-25
2028 Late 3rd,2028,Late,3,pick,267,2050,dynasty_1qb,2025-10-25
2026 Early 4th,2026,Early,4,pick,276,1975,dynasty_1qb,2025-10-25
2027 Early 4th,2027,Early,4,pick,289,1850,dynasty_1qb,2025-10-25
2026 Mid 4th,2026,Mid,4,pick,291,1841,dynasty_1qb,2025-10-25
2027 Mid 4th,2027,Mid,4,pick,298,1776,dynasty_1qb,2025-10-25
2026 Late 4th,2026,Late,4,pick,306,1681,dynasty_1qb,2025-10-25
2028 Early 4th,2028,Early,4,pick,309,1658,dynasty_1qb,2025-10-25
2027 Late 4th,2027,Late,4,pick,317,1587,dynasty_1qb,2025-10-25
2028 Mid 4th,2028,Mid,4,pick,328,1526,dynasty_1qb,2025-10-25
2028 Late 4th,2028,Late,4,pick,336,1464,dynasty_1qb,2025-10-25
