Time Frame,From,To,Original Order,Round,Pick,Position,Player,Contract,Split,RFA Matched,FAAD Comp,Type,Sort
2025 Week 4,Waiver Wire,Gordon,-,-,-,WR,Tre Tucker,12/4,3-3-3-3,-,-,Cut,"3,910"
2025 Week 4,Waiver Wire,Gordon,-,-,-,DL,Jordan Davis,3/3,1-1-1,-,-,Cut,"3,909"
2025 Week 4,Waiver Wire,Gordon,-,-,-,D/ST,Detroit Lions,1/1,1,-,-,Cut,"3,908"
2025 Week 4,Waiver Wire,James,-,-,-,DB,Talanoa Hufanga,1/1,1,-,-,Cut,"3,907"
2025 Week 4,Waiver Wire,JP,-,-,-,RB,Kareem Hunt,4/1,4,-,-,Cut,"3,906"
2025 Week 4,Waiver Wire,JP,-,-,-,TE,Hunter Henry,4/1,4,-,-,Cut,"3,905"
2025 Week 4,Waiver Wire,Kevin,-,-,-,WR,Tyquan Thornton,1/1,1,-,-,Cut,"3,904"
2025 Week 4,Waiver Wire,Kevin,-,-,-,LB,Devin Bush,1/1,1,-,-,Cut,"3,903"
2025 Week 4,Waiver Wire,Kevin,-,-,-,D/ST,Seattle Seahawks,2/2,1-1,-,-,Cut,"3,902"
2025 Week 4,Waiver Wire,TJ,-,-,-,DB,Jourdan Lewis,3/3,1-1-1,-,-,Cut,"3,901"
2025 Week 4,Waiver Wire,TJ,-,-,-,DB,Dru Phillips,3/3,1-1-1,-,-,Cut,"3,900"
2025 Week 4,Waiver Wire,TJ,-,-,-,K,Spencer Shrader,3/2,2-1,-,-,Cut,"3,899"
2025 Week 4,James,Waiver Wire,-,-,-,WR,Rashod Bateman,1/1,1,-,-,Cut,"3,898"
2025 Week 4,JP,Waiver Wire,-,-,-,RB,Najee Harris,8/4,1-2-2-3,yes,-,Cut,"3,898"
2025 Week 4,JP,Waiver Wire,-,-,-,WR,Jerry Jeudy,80/3,20-30-30,-,-,Cut,"3,897"
2025 Week 4,Kevin,Waiver Wire,-,-,-,RB,DJ Giddens,1/1,1,-,-,Cut,"3,896"
2025 Week 4,Kevin,Waiver Wire,-,-,-,DB,Marlon Humphrey,1/1,1,-,-,Cut,"3,895"
2025 Week 4,Piper,Waiver Wire,-,-,-,RB,Dameon Pierce,3/3,1-1-1,-,-,Cut,"3,894"
2025 Week 4,TJ,Waiver Wire,-,-,-,K,Jake Bates,1/1,1,-,-,Cut,"3,893"
2025 Week 3,Waiver Wire,Eric,-,-,-,QB,Daniel Jones,20/2,10-10,-,-,Cut,"3,892"
2025 Week 3,Waiver Wire,Eric,-,-,-,WR,Troy Franklin,20/5,6-6-4-2-2,-,-,Cut,"3,891"
